,home_team,away_team,home_goals,away_goals,result
0,Liverpool,Norwich City,4.0,1.0,H
1,West Ham United,Manchester City,0.0,5.0,A
2,Bournemouth,Sheffield United,1.0,1.0,D
3,Burnley,Southampton,3.0,0.0,H
4,Crystal Palace,Everton,0.0,0.0,D
5,Watford,Brighton & Hove Albion,0.0,3.0,A
6,Tottenham Hotspur,Aston Villa,3.0,1.0,H
7,Leicester City,Wolverhampton Wanderers,0.0,0.0,D
8,Newcastle United,Arsenal,0.0,1.0,A
9,Manchester United,Chelsea,4.0,0.0,H
10,Arsenal,Burnley,2.0,1.0,H
11,Aston Villa,Bournemouth,1.0,2.0,A
12,Brighton & Hove Albion,West Ham United,1.0,1.0,D
13,Everton,Watford,1.0,0.0,H
14,Norwich City,Newcastle United,3.0,1.0,H
15,Southampton,Liverpool,1.0,2.0,A
16,Manchester City,Tottenham Hotspur,2.0,2.0,D
17,Sheffield United,Crystal Palace,1.0,0.0,H
18,Chelsea,Leicester City,1.0,1.0,D
19,Wolverhampton Wanderers,Manchester United,1.0,1.0,D
20,Aston Villa,Everton,2.0,0.0,H
21,Norwich City,Chelsea,2.0,3.0,A
22,Brighton & Hove Albion,Southampton,0.0,2.0,A
23,Manchester United,Crystal Palace,1.0,2.0,A
24,Sheffield United,Leicester City,1.0,2.0,A
25,Watford,West Ham United,1.0,3.0,A
26,Liverpool,Arsenal,3.0,1.0,H
27,Bournemouth,Manchester City,1.0,3.0,A
28,Tottenham Hotspur,Newcastle United,0.0,1.0,A
29,Wolverhampton Wanderers,Burnley,1.0,1.0,D
30,Southampton,Manchester United,1.0,1.0,D
31,Chelsea,Sheffield United,2.0,2.0,D
32,Crystal Palace,Aston Villa,1.0,0.0,H
33,Leicester City,Bournemouth,3.0,1.0,H
34,Manchester City,Brighton & Hove Albion,4.0,0.0,H
35,Newcastle United,Watford,1.0,1.0,D
36,West Ham United,Norwich City,2.0,0.0,H
37,Burnley,Liverpool,0.0,3.0,A
38,Everton,Wolverhampton Wanderers,3.0,2.0,H
39,Arsenal,Tottenham Hotspur,2.0,2.0,D
40,Liverpool,Newcastle United,3.0,1.0,H
41,Brighton & Hove Albion,Burnley,1.0,1.0,D
42,Manchester United,Leicester City,1.0,0.0,H
43,Sheffield United,Southampton,0.0,1.0,A
44,Tottenham Hotspur,Crystal Palace,4.0,0.0,H
45,Wolverhampton Wanderers,Chelsea,2.0,5.0,A
46,Norwich City,Manchester City,3.0,2.0,H
47,Bournemouth,Everton,3.0,1.0,H
48,Watford,Arsenal,2.0,2.0,D
49,Aston Villa,West Ham United,0.0,0.0,D
50,Southampton,Bournemouth,1.0,3.0,A
51,Leicester City,Tottenham Hotspur,2.0,1.0,H
52,Burnley,Norwich City,2.0,0.0,H
53,Everton,Sheffield United,0.0,2.0,A
54,Manchester City,Watford,8.0,0.0,H
55,Newcastle United,Brighton & Hove Albion,0.0,0.0,D
56,Crystal Palace,Wolverhampton Wanderers,1.0,1.0,D
57,West Ham United,Manchester United,2.0,0.0,H
58,Arsenal,Aston Villa,3.0,2.0,H
59,Chelsea,Liverpool,1.0,2.0,A
60,Sheffield United,Liverpool,0.0,1.0,A
61,Aston Villa,Burnley,2.0,2.0,D
62,Bournemouth,West Ham United,2.0,2.0,D
63,Chelsea,Brighton & Hove Albion,2.0,0.0,H
64,Crystal Palace,Norwich City,2.0,0.0,H
65,Tottenham Hotspur,Southampton,2.0,1.0,H
66,Wolverhampton Wanderers,Watford,2.0,0.0,H
67,Everton,Manchester City,1.0,3.0,A
68,Leicester City,Newcastle United,5.0,0.0,H
69,Manchester United,Arsenal,1.0,1.0,D
70,Brighton & Hove Albion,Tottenham Hotspur,3.0,0.0,H
71,Burnley,Everton,1.0,0.0,H
72,Liverpool,Leicester City,2.0,1.0,H
73,Norwich City,Aston Villa,1.0,5.0,A
74,Watford,Sheffield United,0.0,0.0,D
75,West Ham United,Crystal Palace,1.0,2.0,A
76,Arsenal,Bournemouth,1.0,0.0,H
77,Manchester City,Wolverhampton Wanderers,0.0,2.0,A
78,Southampton,Chelsea,1.0,4.0,A
79,Newcastle United,Manchester United,1.0,0.0,H
80,Everton,West Ham United,2.0,0.0,H
81,Aston Villa,Brighton & Hove Albion,2.0,1.0,H
82,Bournemouth,Norwich City,0.0,0.0,D
83,Chelsea,Newcastle United,1.0,0.0,H
84,Leicester City,Burnley,2.0,1.0,H
85,Tottenham Hotspur,Watford,1.0,1.0,D
86,Wolverhampton Wanderers,Southampton,1.0,1.0,D
87,Crystal Palace,Manchester City,0.0,2.0,A
88,Manchester United,Liverpool,1.0,1.0,D
89,Sheffield United,Arsenal,1.0,0.0,H
90,Southampton,Leicester City,0.0,9.0,A
91,Manchester City,Aston Villa,3.0,0.0,H
92,Brighton & Hove Albion,Everton,3.0,2.0,H
93,Watford,Bournemouth,0.0,0.0,D
94,West Ham United,Sheffield United,1.0,1.0,D
95,Burnley,Chelsea,2.0,4.0,A
96,Newcastle United,Wolverhampton Wanderers,1.0,1.0,D
97,Arsenal,Crystal Palace,2.0,2.0,D
98,Liverpool,Tottenham Hotspur,2.0,1.0,H
99,Norwich City,Manchester United,1.0,3.0,A
100,Bournemouth,Manchester United,1.0,0.0,H
101,Arsenal,Wolverhampton Wanderers,1.0,1.0,D
102,Aston Villa,Liverpool,1.0,2.0,A
103,Brighton & Hove Albion,Norwich City,2.0,0.0,H
104,Manchester City,Southampton,2.0,1.0,H
105,Sheffield United,Burnley,3.0,0.0,H
106,West Ham United,Newcastle United,2.0,3.0,A
107,Watford,Chelsea,1.0,2.0,A
108,Crystal Palace,Leicester City,0.0,2.0,A
109,Everton,Tottenham Hotspur,1.0,1.0,D
110,Norwich City,Watford,0.0,2.0,A
111,Chelsea,Crystal Palace,2.0,0.0,H
112,Burnley,West Ham United,3.0,0.0,H
113,Newcastle United,Bournemouth,2.0,1.0,H
114,Southampton,Everton,1.0,2.0,A
115,Tottenham Hotspur,Sheffield United,1.0,1.0,D
116,Leicester City,Arsenal,2.0,0.0,H
117,Manchester United,Brighton & Hove Albion,3.0,1.0,H
118,Wolverhampton Wanderers,Aston Villa,2.0,1.0,H
119,Liverpool,Manchester City,3.0,1.0,H
120,West Ham United,Tottenham Hotspur,2.0,3.0,A
121,Arsenal,Southampton,2.0,2.0,D
122,Bournemouth,Wolverhampton Wanderers,1.0,2.0,A
123,Brighton & Hove Albion,Leicester City,0.0,2.0,A
124,Crystal Palace,Liverpool,1.0,2.0,A
125,Everton,Norwich City,0.0,2.0,A
126,Watford,Burnley,0.0,3.0,A
127,Manchester City,Chelsea,2.0,1.0,H
128,Sheffield United,Manchester United,3.0,3.0,D
129,Aston Villa,Newcastle United,2.0,0.0,H
130,Newcastle United,Manchester City,2.0,2.0,D
131,Burnley,Crystal Palace,0.0,2.0,A
132,Chelsea,West Ham United,0.0,1.0,A
133,Liverpool,Brighton & Hove Albion,2.0,1.0,H
134,Tottenham Hotspur,Bournemouth,3.0,2.0,H
135,Southampton,Watford,2.0,1.0,H
136,Norwich City,Arsenal,2.0,2.0,D
137,Wolverhampton Wanderers,Sheffield United,1.0,1.0,D
138,Leicester City,Everton,2.0,1.0,H
139,Manchester United,Aston Villa,2.0,2.0,D
140,Crystal Palace,Bournemouth,1.0,0.0,H
141,Burnley,Manchester City,1.0,4.0,A
142,Chelsea,Aston Villa,2.0,1.0,H
143,Leicester City,Watford,2.0,0.0,H
144,Manchester United,Tottenham Hotspur,2.0,1.0,H
145,Southampton,Norwich City,2.0,1.0,H
146,Wolverhampton Wanderers,West Ham United,2.0,0.0,H
147,Liverpool,Everton,5.0,2.0,H
148,Sheffield United,Newcastle United,0.0,2.0,A
149,Arsenal,Brighton & Hove Albion,1.0,2.0,A
150,Everton,Chelsea,3.0,1.0,H
151,Bournemouth,Liverpool,0.0,3.0,A
152,Tottenham Hotspur,Burnley,5.0,0.0,H
153,Watford,Crystal Palace,0.0,0.0,D
154,Manchester City,Manchester United,1.0,2.0,A
155,Aston Villa,Leicester City,1.0,4.0,A
156,Newcastle United,Southampton,2.0,1.0,H
157,Norwich City,Sheffield United,1.0,2.0,A
158,Brighton & Hove Albion,Wolverhampton Wanderers,2.0,2.0,D
159,West Ham United,Arsenal,1.0,3.0,A
160,Liverpool,Watford,2.0,0.0,H
161,Burnley,Newcastle United,1.0,0.0,H
162,Chelsea,Bournemouth,0.0,1.0,A
163,Leicester City,Norwich City,1.0,1.0,D
164,Sheffield United,Aston Villa,2.0,0.0,H
165,Southampton,West Ham United,0.0,1.0,A
166,Manchester United,Everton,1.0,1.0,D
167,Wolverhampton Wanderers,Tottenham Hotspur,1.0,2.0,A
168,Arsenal,Manchester City,0.0,3.0,A
169,Crystal Palace,Brighton & Hove Albion,1.0,1.0,D
170,Everton,Arsenal,0.0,0.0,D
171,Aston Villa,Southampton,1.0,3.0,A
172,Bournemouth,Burnley,0.0,1.0,A
173,Brighton & Hove Albion,Sheffield United,0.0,1.0,A
174,Newcastle United,Crystal Palace,1.0,0.0,H
175,Norwich City,Wolverhampton Wanderers,1.0,2.0,A
176,Manchester City,Leicester City,3.0,1.0,H
177,Watford,Manchester United,2.0,0.0,H
178,Tottenham Hotspur,Chelsea,0.0,2.0,A
179,Tottenham Hotspur,Brighton & Hove Albion,2.0,1.0,H
180,Aston Villa,Norwich City,1.0,0.0,H
181,Bournemouth,Arsenal,1.0,1.0,D
182,Chelsea,Southampton,0.0,2.0,A
183,Crystal Palace,West Ham United,2.0,1.0,H
184,Everton,Burnley,1.0,0.0,H
185,Sheffield United,Watford,1.0,1.0,D
186,Manchester United,Newcastle United,4.0,1.0,H
187,Leicester City,Liverpool,0.0,4.0,A
188,Wolverhampton Wanderers,Manchester City,3.0,2.0,H
189,Brighton & Hove Albion,Bournemouth,2.0,0.0,H
190,Newcastle United,Everton,1.0,2.0,A
191,Southampton,Crystal Palace,1.0,1.0,D
192,Watford,Aston Villa,3.0,0.0,H
193,Norwich City,Tottenham Hotspur,2.0,2.0,D
194,West Ham United,Leicester City,1.0,2.0,A
195,Burnley,Manchester United,0.0,2.0,A
196,Arsenal,Chelsea,1.0,2.0,A
197,Liverpool,Wolverhampton Wanderers,1.0,0.0,H
198,Manchester City,Sheffield United,2.0,0.0,H
199,Brighton & Hove Albion,Chelsea,1.0,1.0,D
200,Burnley,Aston Villa,1.0,2.0,A
201,Newcastle United,Leicester City,0.0,3.0,A
202,Southampton,Tottenham Hotspur,1.0,0.0,H
203,Watford,Wolverhampton Wanderers,2.0,1.0,H
204,Manchester City,Everton,2.0,1.0,H
205,Norwich City,Crystal Palace,1.0,1.0,D
206,West Ham United,Bournemouth,4.0,0.0,H
207,Arsenal,Manchester United,2.0,0.0,H
208,Liverpool,Sheffield United,2.0,0.0,H
209,Sheffield United,West Ham United,1.0,0.0,H
210,Crystal Palace,Arsenal,1.0,1.0,D
211,Chelsea,Burnley,3.0,0.0,H
212,Everton,Brighton & Hove Albion,1.0,0.0,H
213,Leicester City,Southampton,1.0,2.0,A
214,Manchester United,Norwich City,4.0,0.0,H
215,Wolverhampton Wanderers,Newcastle United,1.0,1.0,D
216,Tottenham Hotspur,Liverpool,0.0,1.0,A
217,Bournemouth,Watford,0.0,3.0,A
218,Aston Villa,Manchester City,1.0,6.0,A
219,Watford,Tottenham Hotspur,0.0,0.0,D
220,Arsenal,Sheffield United,1.0,1.0,D
221,Brighton & Hove Albion,Aston Villa,1.0,1.0,D
222,Manchester City,Crystal Palace,2.0,2.0,D
223,Norwich City,Bournemouth,1.0,0.0,H
224,Southampton,Wolverhampton Wanderers,2.0,3.0,A
225,West Ham United,Everton,1.0,1.0,D
226,Newcastle United,Chelsea,1.0,0.0,H
227,Burnley,Leicester City,2.0,1.0,H
228,Liverpool,Manchester United,2.0,0.0,H
229,Aston Villa,Watford,2.0,1.0,H
230,Bournemouth,Brighton & Hove Albion,3.0,1.0,H
231,Crystal Palace,Southampton,0.0,2.0,A
232,Everton,Newcastle United,2.0,2.0,D
233,Sheffield United,Manchester City,0.0,1.0,A
234,Chelsea,Arsenal,2.0,2.0,D
235,Leicester City,West Ham United,4.0,1.0,H
