,home_team,away_team,home_goals,away_goals,result
236,Tottenham Hotspur,Norwich City,2.0,1.0,H
237,Manchester United,Burnley,0.0,2.0,A
238,Wolverhampton Wanderers,Liverpool,1.0,2.0,A
239,West Ham United,Liverpool,0.0,2.0,A
240,Leicester City,Chelsea,2.0,2.0,D
241,Bournemouth,Aston Villa,2.0,1.0,H
242,Crystal Palace,Sheffield United,0.0,1.0,A
243,Liverpool,Southampton,4.0,0.0,H
244,Newcastle United,Norwich City,0.0,0.0,D
245,Watford,Everton,2.0,3.0,A
246,West Ham United,Brighton & Hove Albion,3.0,3.0,D
247,Manchester United,Wolverhampton Wanderers,0.0,0.0,D
248,Burnley,Arsenal,0.0,0.0,D
249,Tottenham Hotspur,Manchester City,2.0,0.0,H
250,Everton,Crystal Palace,3.0,1.0,H
251,Brighton & Hove Albion,Watford,1.0,1.0,D
252,Sheffield United,Bournemouth,2.0,1.0,H
253,Wolverhampton Wanderers,Leicester City,0.0,0.0,D
254,Southampton,Burnley,1.0,2.0,A
255,Norwich City,Liverpool,0.0,1.0,A
256,Aston Villa,Tottenham Hotspur,2.0,3.0,A
257,Arsenal,Newcastle United,4.0,0.0,H
258,Chelsea,Manchester United,0.0,2.0,A
259,Manchester City,West Ham United,2.0,0.0,H
260,Chelsea,Tottenham Hotspur,2.0,1.0,H
261,Burnley,Bournemouth,3.0,0.0,H
262,Crystal Palace,Newcastle United,1.0,0.0,H
263,Sheffield United,Brighton & Hove Albion,1.0,1.0,D
264,Southampton,Aston Villa,2.0,0.0,H
265,Leicester City,Manchester City,0.0,1.0,A
266,Manchester United,Watford,3.0,0.0,H
267,Wolverhampton Wanderers,Norwich City,3.0,0.0,H
268,Arsenal,Everton,3.0,2.0,H
269,Liverpool,West Ham United,3.0,2.0,H
270,Norwich City,Leicester City,1.0,0.0,H
271,Brighton & Hove Albion,Crystal Palace,0.0,1.0,A
272,Bournemouth,Chelsea,2.0,2.0,D
273,Newcastle United,Burnley,0.0,0.0,D
274,West Ham United,Southampton,3.0,1.0,H
275,Watford,Liverpool,3.0,0.0,H
276,Everton,Manchester United,1.0,1.0,D
277,Tottenham Hotspur,Wolverhampton Wanderers,2.0,3.0,A
278,Liverpool,Bournemouth,2.0,1.0,H
279,Arsenal,West Ham United,1.0,0.0,H
280,Crystal Palace,Watford,1.0,0.0,H
281,Sheffield United,Norwich City,1.0,0.0,H
282,Southampton,Newcastle United,0.0,1.0,A
283,Wolverhampton Wanderers,Brighton & Hove Albion,0.0,0.0,D
284,Burnley,Tottenham Hotspur,1.0,1.0,D
285,Chelsea,Everton,4.0,0.0,H
286,Manchester United,Manchester City,2.0,0.0,H
287,Leicester City,Aston Villa,4.0,0.0,H
288,Aston Villa,Sheffield United,0.0,0.0,D
289,Manchester City,Arsenal,3.0,0.0,H
290,Norwich City,Southampton,0.0,3.0,A
291,Tottenham Hotspur,Manchester United,1.0,1.0,D
292,Watford,Leicester City,1.0,1.0,D
293,Brighton & Hove Albion,Arsenal,2.0,1.0,H
294,West Ham United,Wolverhampton Wanderers,0.0,2.0,A
295,Bournemouth,Crystal Palace,0.0,2.0,A
296,Newcastle United,Sheffield United,3.0,0.0,H
297,Aston Villa,Chelsea,1.0,2.0,A
298,Everton,Liverpool,0.0,0.0,D
299,Manchester City,Burnley,5.0,0.0,H
300,Leicester City,Brighton & Hove Albion,0.0,0.0,D
301,Tottenham Hotspur,West Ham United,2.0,0.0,H
302,Manchester United,Sheffield United,3.0,0.0,H
303,Newcastle United,Aston Villa,1.0,1.0,D
304,Norwich City,Everton,0.0,1.0,A
305,Wolverhampton Wanderers,Bournemouth,1.0,0.0,H
306,Liverpool,Crystal Palace,4.0,0.0,H
307,Burnley,Watford,1.0,0.0,H
308,Southampton,Arsenal,0.0,2.0,A
309,Chelsea,Manchester City,2.0,1.0,H
310,Aston Villa,Wolverhampton Wanderers,0.0,1.0,A
311,Watford,Southampton,1.0,3.0,A
312,Crystal Palace,Burnley,0.0,1.0,A
313,Brighton & Hove Albion,Manchester United,0.0,3.0,A
314,Arsenal,Norwich City,4.0,0.0,H
315,Bournemouth,Newcastle United,1.0,4.0,A
316,Everton,Leicester City,2.0,1.0,H
317,West Ham United,Chelsea,3.0,2.0,H
318,Sheffield United,Tottenham Hotspur,3.0,1.0,H
319,Manchester City,Liverpool,4.0,0.0,H
320,Norwich City,Brighton & Hove Albion,0.0,1.0,A
321,Leicester City,Crystal Palace,3.0,0.0,H
322,Manchester United,Bournemouth,5.0,2.0,H
323,Wolverhampton Wanderers,Arsenal,0.0,2.0,A
324,Chelsea,Watford,3.0,0.0,H
325,Burnley,Sheffield United,1.0,1.0,D
326,Newcastle United,West Ham United,2.0,2.0,D
327,Liverpool,Aston Villa,2.0,0.0,H
328,Southampton,Manchester City,1.0,0.0,H
329,Tottenham Hotspur,Everton,1.0,0.0,H
330,Crystal Palace,Chelsea,2.0,3.0,A
331,Watford,Norwich City,2.0,1.0,H
332,Arsenal,Leicester City,1.0,1.0,D
333,Manchester City,Newcastle United,5.0,0.0,H
334,Sheffield United,Wolverhampton Wanderers,1.0,0.0,H
335,West Ham United,Burnley,0.0,1.0,A
336,Brighton & Hove Albion,Liverpool,1.0,3.0,A
337,Bournemouth,Tottenham Hotspur,0.0,0.0,D
338,Everton,Southampton,1.0,1.0,D
339,Aston Villa,Manchester United,0.0,3.0,A
340,Norwich City,West Ham United,0.0,4.0,A
341,Watford,Newcastle United,2.0,1.0,H
342,Liverpool,Burnley,1.0,1.0,D
343,Sheffield United,Chelsea,3.0,0.0,H
344,Brighton & Hove Albion,Manchester City,0.0,5.0,A
345,Wolverhampton Wanderers,Everton,3.0,0.0,H
346,Aston Villa,Crystal Palace,2.0,0.0,H
347,Tottenham Hotspur,Arsenal,2.0,1.0,H
348,Bournemouth,Leicester City,4.0,1.0,H
349,Manchester United,Southampton,2.0,2.0,D
350,Chelsea,Norwich City,1.0,0.0,H
351,Burnley,Wolverhampton Wanderers,1.0,1.0,D
352,Manchester City,Bournemouth,2.0,1.0,H
353,Newcastle United,Tottenham Hotspur,1.0,3.0,A
354,Arsenal,Liverpool,2.0,1.0,H
355,Everton,Aston Villa,1.0,1.0,D
356,Leicester City,Sheffield United,2.0,0.0,H
357,Crystal Palace,Manchester United,0.0,2.0,A
358,Southampton,Brighton & Hove Albion,1.0,1.0,D
359,West Ham United,Watford,3.0,1.0,H
360,Norwich City,Burnley,0.0,2.0,A
361,Bournemouth,Southampton,0.0,2.0,A
362,Tottenham Hotspur,Leicester City,3.0,0.0,H
363,Brighton & Hove Albion,Newcastle United,0.0,0.0,D
364,Sheffield United,Everton,0.0,1.0,A
365,Wolverhampton Wanderers,Crystal Palace,2.0,0.0,H
366,Watford,Manchester City,0.0,4.0,A
367,Aston Villa,Arsenal,1.0,0.0,H
368,Manchester United,West Ham United,1.0,1.0,D
369,Liverpool,Chelsea,5.0,3.0,H
370,Arsenal,Watford,3.0,2.0,H
371,Burnley,Brighton & Hove Albion,1.0,2.0,A
372,Chelsea,Wolverhampton Wanderers,2.0,0.0,H
373,Crystal Palace,Tottenham Hotspur,1.0,1.0,D
374,Everton,Bournemouth,1.0,3.0,A
375,Leicester City,Manchester United,0.0,2.0,A
376,Manchester City,Norwich City,5.0,0.0,H
377,Newcastle United,Liverpool,1.0,3.0,A
378,Southampton,Sheffield United,3.0,1.0,H
379,West Ham United,Aston Villa,1.0,1.0,D
