,home_team,away_team,home_goals,away_goals,result
228,Brighton & Hove Albion,Aston Villa,0.0,0.0,D
229,Southampton,Wolverhampton Wanderers,1.0,2.0,A
230,West Bromwich Albion,Manchester United,1.0,1.0,D
231,Arsenal,Leeds United,4.0,2.0,H
232,Everton,Fulham,0.0,2.0,A
233,West Ham United,Sheffield United,3.0,0.0,H
234,Chelsea,Newcastle United,2.0,0.0,H
235,Burnley,Fulham,1.0,1.0,D
236,Everton,Manchester City,1.0,3.0,A
237,Wolverhampton Wanderers,Leeds United,1.0,0.0,H
238,Southampton,Chelsea,1.0,1.0,D
239,Burnley,West Bromwich Albion,0.0,0.0,D
240,Liverpool,Everton,0.0,2.0,A
241,Fulham,Sheffield United,1.0,0.0,H
242,West Ham United,Tottenham Hotspur,2.0,1.0,H
243,Aston Villa,Leicester City,1.0,2.0,A
244,Arsenal,Manchester City,0.0,1.0,A
245,Manchester United,Newcastle United,3.0,1.0,H
246,Brighton & Hove Albion,Crystal Palace,1.0,2.0,A
247,Leeds United,Southampton,3.0,0.0,H
248,Manchester City,West Ham United,2.0,1.0,H
249,West Bromwich Albion,Brighton & Hove Albion,1.0,0.0,H
250,Leeds United,Aston Villa,0.0,1.0,A
251,Newcastle United,Wolverhampton Wanderers,1.0,1.0,D
252,Crystal Palace,Fulham,0.0,0.0,D
253,Leicester City,Arsenal,1.0,3.0,A
254,Tottenham Hotspur,Burnley,4.0,0.0,H
255,Chelsea,Manchester United,0.0,0.0,D
256,Sheffield United,Liverpool,0.0,2.0,A
257,Everton,Southampton,1.0,0.0,H
258,Manchester City,Wolverhampton Wanderers,4.0,1.0,H
259,Burnley,Leicester City,1.0,1.0,D
260,Sheffield United,Aston Villa,1.0,0.0,H
261,Crystal Palace,Manchester United,0.0,0.0,D
262,Fulham,Tottenham Hotspur,0.0,1.0,A
263,West Bromwich Albion,Everton,0.0,1.0,A
264,Liverpool,Chelsea,0.0,1.0,A
265,Burnley,Arsenal,1.0,1.0,D
266,Sheffield United,Southampton,0.0,2.0,A
267,Aston Villa,Wolverhampton Wanderers,0.0,0.0,D
268,Brighton & Hove Albion,Leicester City,1.0,2.0,A
269,West Bromwich Albion,Newcastle United,0.0,0.0,D
270,Liverpool,Fulham,0.0,1.0,A
271,Manchester City,Manchester United,0.0,2.0,A
272,Tottenham Hotspur,Crystal Palace,4.0,1.0,H
273,Chelsea,Everton,2.0,0.0,H
274,West Ham United,Leeds United,2.0,0.0,H
275,Manchester City,Southampton,5.0,2.0,H
276,Newcastle United,Aston Villa,1.0,1.0,D
277,Leeds United,Chelsea,0.0,0.0,D
278,Crystal Palace,West Bromwich Albion,1.0,0.0,H
279,Everton,Burnley,1.0,2.0,A
280,Fulham,Manchester City,0.0,3.0,A
281,Southampton,Brighton & Hove Albion,1.0,2.0,A
282,Leicester City,Sheffield United,5.0,0.0,H
283,Arsenal,Tottenham Hotspur,2.0,1.0,H
284,Manchester United,West Ham United,1.0,0.0,H
285,Wolverhampton Wanderers,Liverpool,0.0,1.0,A
286,Fulham,Leeds United,1.0,2.0,A
287,Brighton & Hove Albion,Newcastle United,3.0,0.0,H
288,West Ham United,Arsenal,3.0,3.0,D
289,Aston Villa,Tottenham Hotspur,0.0,2.0,A
290,Chelsea,West Bromwich Albion,2.0,5.0,A
291,Leeds United,Sheffield United,2.0,1.0,H
292,Leicester City,Manchester City,0.0,2.0,A
293,Arsenal,Liverpool,0.0,3.0,A
294,Southampton,Burnley,3.0,2.0,H
295,Newcastle United,Tottenham Hotspur,2.0,2.0,D
296,Aston Villa,Fulham,3.0,1.0,H
297,Manchester United,Brighton & Hove Albion,2.0,1.0,H
298,Everton,Crystal Palace,1.0,1.0,D
299,Wolverhampton Wanderers,West Ham United,2.0,3.0,A
300,Fulham,Wolverhampton Wanderers,0.0,1.0,A
301,Manchester City,Leeds United,1.0,2.0,A
302,Liverpool,Aston Villa,2.0,1.0,H
303,Crystal Palace,Chelsea,1.0,4.0,A
304,Burnley,Newcastle United,1.0,2.0,A
305,West Ham United,Leicester City,3.0,2.0,H
306,Tottenham Hotspur,Manchester United,1.0,3.0,A
307,Sheffield United,Arsenal,0.0,3.0,A
308,West Bromwich Albion,Southampton,3.0,0.0,H
309,Brighton & Hove Albion,Everton,0.0,0.0,D
310,Everton,Tottenham Hotspur,2.0,2.0,D
311,Newcastle United,West Ham United,3.0,2.0,H
312,Wolverhampton Wanderers,Sheffield United,1.0,0.0,H
313,Arsenal,Fulham,1.0,1.0,D
314,Manchester United,Burnley,3.0,1.0,H
315,Leeds United,Liverpool,1.0,1.0,D
316,Chelsea,Brighton & Hove Albion,0.0,0.0,D
317,Tottenham Hotspur,Southampton,2.0,1.0,H
318,Aston Villa,Manchester City,1.0,2.0,A
319,Leicester City,West Bromwich Albion,3.0,0.0,H
320,Arsenal,Everton,0.0,1.0,A
321,Liverpool,Newcastle United,1.0,1.0,D
322,West Ham United,Chelsea,0.0,1.0,A
323,Sheffield United,Brighton & Hove Albion,1.0,0.0,H
324,Wolverhampton Wanderers,Burnley,0.0,4.0,A
325,Leeds United,Manchester United,0.0,0.0,D
326,Aston Villa,West Bromwich Albion,2.0,2.0,D
327,Leicester City,Crystal Palace,2.0,1.0,H
328,Southampton,Leicester City,1.0,1.0,D
329,Crystal Palace,Manchester City,0.0,2.0,A
330,Brighton & Hove Albion,Leeds United,2.0,0.0,H
331,Chelsea,Fulham,2.0,0.0,H
332,Everton,Aston Villa,1.0,2.0,A
333,Newcastle United,Arsenal,0.0,2.0,A
334,Tottenham Hotspur,Sheffield United,4.0,0.0,H
335,West Bromwich Albion,Wolverhampton Wanderers,1.0,1.0,D
336,Burnley,West Ham United,1.0,2.0,A
337,Leicester City,Newcastle United,2.0,4.0,A
338,Leeds United,Tottenham Hotspur,3.0,1.0,H
339,Sheffield United,Crystal Palace,0.0,2.0,A
340,Manchester City,Chelsea,1.0,2.0,A
341,Liverpool,Southampton,2.0,0.0,H
342,Wolverhampton Wanderers,Brighton & Hove Albion,2.0,1.0,H
343,Aston Villa,Manchester United,1.0,3.0,A
344,West Ham United,Everton,0.0,1.0,A
345,Arsenal,West Bromwich Albion,3.0,1.0,H
346,Fulham,Burnley,0.0,2.0,A
347,Manchester United,Leicester City,1.0,2.0,A
348,Southampton,Crystal Palace,3.0,1.0,H
349,Chelsea,Arsenal,0.0,1.0,A
350,Aston Villa,Everton,0.0,0.0,D
351,Manchester United,Liverpool,2.0,4.0,A
352,Newcastle United,Manchester City,3.0,4.0,A
353,Burnley,Leeds United,0.0,4.0,A
354,Southampton,Fulham,3.0,1.0,H
355,Brighton & Hove Albion,West Ham United,1.0,1.0,D
356,Crystal Palace,Aston Villa,3.0,2.0,H
357,Tottenham Hotspur,Wolverhampton Wanderers,2.0,0.0,H
358,West Bromwich Albion,Liverpool,1.0,2.0,A
359,Everton,Sheffield United,0.0,1.0,A
360,Manchester United,Fulham,1.0,1.0,D
361,Southampton,Leeds United,0.0,2.0,A
362,Brighton & Hove Albion,Manchester City,3.0,2.0,H
363,Chelsea,Leicester City,2.0,1.0,H
364,Everton,Wolverhampton Wanderers,1.0,0.0,H
365,Newcastle United,Sheffield United,1.0,0.0,H
366,Tottenham Hotspur,Aston Villa,1.0,2.0,A
367,Crystal Palace,Arsenal,1.0,3.0,A
368,Burnley,Liverpool,0.0,3.0,A
369,West Bromwich Albion,West Ham United,1.0,3.0,A
370,Arsenal,Brighton & Hove Albion,2.0,0.0,H
371,Aston Villa,Chelsea,2.0,1.0,H
372,Fulham,Newcastle United,0.0,2.0,A
373,Leeds United,West Bromwich Albion,3.0,1.0,H
374,Leicester City,Tottenham Hotspur,2.0,4.0,A
375,Liverpool,Crystal Palace,2.0,0.0,H
376,Manchester City,Everton,5.0,0.0,H
377,Sheffield United,Burnley,1.0,0.0,H
378,West Ham United,Southampton,3.0,0.0,H
379,Wolverhampton Wanderers,Manchester United,1.0,2.0,A
