,home_team,away_team,home_goals,away_goals,result
0,Crystal Palace,Arsenal,0.0,2.0,A
1,Fulham,Liverpool,2.0,2.0,D
2,Bournemouth,Aston Villa,2.0,0.0,H
3,Leeds United,Wolverhampton Wanderers,2.0,1.0,H
4,Newcastle United,Nottingham Forest,2.0,0.0,H
5,Tottenham Hotspur,Southampton,4.0,1.0,H
6,Everton,Chelsea,0.0,1.0,A
7,Leicester City,Brentford,2.0,2.0,D
8,Manchester United,Brighton & Hove Albion,1.0,2.0,A
9,West Ham United,Manchester City,0.0,2.0,A
10,Aston Villa,Everton,2.0,1.0,H
11,Arsenal,Leicester City,4.0,2.0,H
12,Brighton & Hove Albion,Newcastle United,0.0,0.0,D
13,Manchester City,Bournemouth,4.0,0.0,H
14,Southampton,Leeds United,2.0,2.0,D
15,Wolverhampton Wanderers,Fulham,0.0,0.0,D
16,Brentford,Manchester United,4.0,0.0,H
17,Nottingham Forest,West Ham United,1.0,0.0,H
18,Chelsea,Tottenham Hotspur,2.0,2.0,D
19,Liverpool,Crystal Palace,1.0,1.0,D
20,Tottenham Hotspur,Wolverhampton Wanderers,1.0,0.0,H
21,Crystal Palace,Aston Villa,3.0,1.0,H
22,Everton,Nottingham Forest,1.0,1.0,D
23,Fulham,Brentford,3.0,2.0,H
24,Leicester City,Southampton,1.0,2.0,A
25,Bournemouth,Arsenal,0.0,3.0,A
26,Leeds United,Chelsea,3.0,0.0,H
27,West Ham United,Brighton & Hove Albion,0.0,2.0,A
28,Newcastle United,Manchester City,3.0,3.0,D
29,Manchester United,Liverpool,2.0,1.0,H
30,Southampton,Manchester United,0.0,1.0,A
31,Brentford,Everton,1.0,1.0,D
32,Brighton & Hove Albion,Leeds United,1.0,0.0,H
33,Chelsea,Leicester City,2.0,1.0,H
34,Liverpool,Bournemouth,9.0,0.0,H
35,Manchester City,Crystal Palace,4.0,2.0,H
36,Arsenal,Fulham,2.0,1.0,H
37,Aston Villa,West Ham United,0.0,1.0,A
38,Wolverhampton Wanderers,Newcastle United,1.0,1.0,D
39,Nottingham Forest,Tottenham Hotspur,0.0,2.0,A
40,Crystal Palace,Brentford,1.0,1.0,D
41,Fulham,Brighton & Hove Albion,2.0,1.0,H
42,Southampton,Chelsea,2.0,1.0,H
43,Leeds United,Everton,1.0,1.0,D
44,Arsenal,Aston Villa,2.0,1.0,H
45,Bournemouth,Wolverhampton Wanderers,0.0,0.0,D
46,Manchester City,Nottingham Forest,6.0,0.0,H
47,West Ham United,Tottenham Hotspur,1.0,1.0,D
48,Liverpool,Newcastle United,2.0,1.0,H
49,Leicester City,Manchester United,0.0,1.0,A
50,Everton,Liverpool,0.0,0.0,D
51,Brentford,Leeds United,5.0,2.0,H
52,Chelsea,West Ham United,2.0,1.0,H
53,Newcastle United,Crystal Palace,0.0,0.0,D
54,Nottingham Forest,Bournemouth,2.0,3.0,A
55,Tottenham Hotspur,Fulham,2.0,1.0,H
56,Wolverhampton Wanderers,Southampton,1.0,0.0,H
57,Aston Villa,Manchester City,1.0,1.0,D
58,Brighton & Hove Albion,Leicester City,5.0,2.0,H
59,Manchester United,Arsenal,3.0,1.0,H
60,Aston Villa,Southampton,1.0,0.0,H
61,Nottingham Forest,Fulham,2.0,3.0,A
62,Wolverhampton Wanderers,Manchester City,0.0,3.0,A
63,Newcastle United,Bournemouth,1.0,1.0,D
64,Tottenham Hotspur,Leicester City,6.0,2.0,H
65,Brentford,Arsenal,0.0,3.0,A
66,Everton,West Ham United,1.0,0.0,H
67,Arsenal,Tottenham Hotspur,3.0,1.0,H
68,Bournemouth,Brentford,0.0,0.0,D
69,Crystal Palace,Chelsea,1.0,2.0,A
70,Fulham,Newcastle United,1.0,4.0,A
71,Liverpool,Brighton & Hove Albion,3.0,3.0,D
72,Southampton,Everton,1.0,2.0,A
73,West Ham United,Wolverhampton Wanderers,2.0,0.0,H
74,Manchester City,Manchester United,6.0,3.0,H
75,Leeds United,Aston Villa,0.0,0.0,D
76,Leicester City,Nottingham Forest,4.0,0.0,H
77,Bournemouth,Leicester City,2.0,1.0,H
78,Chelsea,Wolverhampton Wanderers,3.0,0.0,H
79,Manchester City,Southampton,4.0,0.0,H
80,Newcastle United,Brentford,5.0,1.0,H
81,Brighton & Hove Albion,Tottenham Hotspur,0.0,1.0,A
82,Crystal Palace,Leeds United,2.0,1.0,H
83,West Ham United,Fulham,3.0,1.0,H
84,Arsenal,Liverpool,3.0,2.0,H
85,Everton,Manchester United,1.0,2.0,A
86,Nottingham Forest,Aston Villa,1.0,1.0,D
87,Brentford,Brighton & Hove Albion,2.0,0.0,H
88,Leicester City,Crystal Palace,0.0,0.0,D
89,Fulham,Bournemouth,2.0,2.0,D
90,Wolverhampton Wanderers,Nottingham Forest,1.0,0.0,H
91,Tottenham Hotspur,Everton,2.0,0.0,H
92,Aston Villa,Chelsea,0.0,2.0,A
93,Leeds United,Arsenal,0.0,1.0,A
94,Manchester United,Newcastle United,0.0,0.0,D
95,Southampton,West Ham United,1.0,1.0,D
96,Liverpool,Manchester City,1.0,0.0,H
97,Brighton & Hove Albion,Nottingham Forest,0.0,0.0,D
98,Crystal Palace,Wolverhampton Wanderers,2.0,1.0,H
99,Bournemouth,Southampton,0.0,1.0,A
100,Brentford,Chelsea,0.0,0.0,D
101,Liverpool,West Ham United,1.0,0.0,H
102,Newcastle United,Everton,1.0,0.0,H
103,Manchester United,Tottenham Hotspur,2.0,0.0,H
104,Fulham,Aston Villa,3.0,0.0,H
105,Leicester City,Leeds United,2.0,0.0,H
106,Nottingham Forest,Liverpool,1.0,0.0,H
107,Everton,Crystal Palace,3.0,0.0,H
108,Manchester City,Brighton & Hove Albion,3.0,1.0,H
109,Chelsea,Manchester United,1.0,1.0,D
110,Aston Villa,Brentford,4.0,0.0,H
111,Leeds United,Fulham,2.0,3.0,A
112,Southampton,Arsenal,1.0,1.0,D
113,Wolverhampton Wanderers,Leicester City,0.0,4.0,A
114,Tottenham Hotspur,Newcastle United,1.0,2.0,A
115,West Ham United,Bournemouth,2.0,0.0,H
116,Leicester City,Manchester City,0.0,1.0,A
117,Bournemouth,Tottenham Hotspur,2.0,3.0,A
118,Brentford,Wolverhampton Wanderers,1.0,1.0,D
119,Brighton & Hove Albion,Chelsea,4.0,1.0,H
120,Crystal Palace,Southampton,1.0,0.0,H
121,Newcastle United,Aston Villa,4.0,0.0,H
122,Fulham,Everton,0.0,0.0,D
123,Liverpool,Leeds United,1.0,2.0,A
124,Arsenal,Nottingham Forest,5.0,0.0,H
125,Manchester United,West Ham United,1.0,0.0,H
126,Leeds United,Bournemouth,4.0,3.0,H
127,Manchester City,Fulham,2.0,1.0,H
128,Nottingham Forest,Brentford,2.0,2.0,D
129,Wolverhampton Wanderers,Brighton & Hove Albion,2.0,3.0,A
130,Everton,Leicester City,0.0,2.0,A
131,Chelsea,Arsenal,0.0,1.0,A
132,Aston Villa,Manchester United,3.0,1.0,H
133,Southampton,Newcastle United,1.0,4.0,A
134,West Ham United,Crystal Palace,1.0,2.0,A
135,Tottenham Hotspur,Liverpool,1.0,2.0,A
136,Manchester City,Brentford,1.0,2.0,A
137,Bournemouth,Everton,3.0,0.0,H
138,Liverpool,Southampton,3.0,1.0,H
139,Nottingham Forest,Crystal Palace,1.0,0.0,H
140,Tottenham Hotspur,Leeds United,4.0,3.0,H
141,West Ham United,Leicester City,0.0,2.0,A
142,Newcastle United,Chelsea,1.0,0.0,H
143,Wolverhampton Wanderers,Arsenal,0.0,2.0,A
144,Brighton & Hove Albion,Aston Villa,1.0,2.0,A
145,Fulham,Manchester United,1.0,2.0,A
146,Brentford,Tottenham Hotspur,2.0,2.0,D
