,home_team,away_team,home_goals,away_goals,result
147,Crystal Palace,Fulham,0.0,3.0,A
148,Everton,Wolverhampton Wanderers,1.0,2.0,A
149,Leicester City,Newcastle United,0.0,3.0,A
150,Southampton,Brighton & Hove Albion,1.0,3.0,A
151,Aston Villa,Liverpool,1.0,3.0,A
152,Arsenal,West Ham United,3.0,1.0,H
153,Chelsea,Bournemouth,2.0,0.0,H
154,Manchester United,Nottingham Forest,3.0,0.0,H
155,Leeds United,Manchester City,1.0,3.0,A
156,West Ham United,Brentford,0.0,2.0,A
157,Liverpool,Leicester City,2.0,1.0,H
158,Wolverhampton Wanderers,Manchester United,0.0,1.0,A
159,Bournemouth,Crystal Palace,0.0,2.0,A
160,Fulham,Southampton,2.0,1.0,H
161,Manchester City,Everton,1.0,1.0,D
162,Newcastle United,Leeds United,0.0,0.0,D
163,Brighton & Hove Albion,Arsenal,2.0,4.0,A
164,Tottenham Hotspur,Aston Villa,0.0,2.0,A
165,Nottingham Forest,Chelsea,1.0,1.0,D
166,Brentford,Liverpool,3.0,1.0,H
167,Arsenal,Newcastle United,0.0,0.0,D
168,Everton,Brighton & Hove Albion,1.0,4.0,A
169,Leicester City,Fulham,0.0,1.0,A
170,Manchester United,Bournemouth,3.0,0.0,H
171,Southampton,Nottingham Forest,0.0,1.0,A
172,Leeds United,West Ham United,2.0,2.0,D
173,Aston Villa,Wolverhampton Wanderers,1.0,1.0,D
174,Crystal Palace,Tottenham Hotspur,0.0,4.0,A
175,Chelsea,Manchester City,0.0,1.0,A
176,Fulham,Chelsea,2.0,1.0,H
177,Aston Villa,Leeds United,2.0,1.0,H
178,Manchester United,Manchester City,2.0,1.0,H
179,Brighton & Hove Albion,Liverpool,3.0,0.0,H
180,Everton,Southampton,1.0,2.0,A
181,Nottingham Forest,Leicester City,2.0,0.0,H
182,Wolverhampton Wanderers,West Ham United,1.0,0.0,H
183,Brentford,Bournemouth,2.0,0.0,H
184,Chelsea,Crystal Palace,1.0,0.0,H
185,Newcastle United,Fulham,1.0,0.0,H
186,Tottenham Hotspur,Arsenal,0.0,2.0,A
187,Crystal Palace,Manchester United,1.0,1.0,D
188,Manchester City,Tottenham Hotspur,4.0,2.0,H
189,Liverpool,Chelsea,0.0,0.0,D
190,Bournemouth,Nottingham Forest,1.0,1.0,D
191,Leicester City,Brighton & Hove Albion,2.0,2.0,D
192,Southampton,Aston Villa,0.0,1.0,A
193,West Ham United,Everton,2.0,0.0,H
194,Crystal Palace,Newcastle United,0.0,0.0,D
195,Leeds United,Brentford,0.0,0.0,D
196,Manchester City,Wolverhampton Wanderers,3.0,0.0,H
197,Arsenal,Manchester United,3.0,2.0,H
198,Fulham,Tottenham Hotspur,0.0,1.0,A
199,Chelsea,Fulham,0.0,0.0,D
200,Everton,Arsenal,1.0,0.0,H
201,Aston Villa,Leicester City,2.0,4.0,A
202,Brentford,Southampton,3.0,0.0,H
203,Brighton & Hove Albion,Bournemouth,1.0,0.0,H
204,Manchester United,Crystal Palace,2.0,1.0,H
205,Wolverhampton Wanderers,Liverpool,3.0,0.0,H
206,Newcastle United,West Ham United,1.0,1.0,D
207,Nottingham Forest,Leeds United,1.0,0.0,H
208,Tottenham Hotspur,Manchester City,1.0,0.0,H
209,Manchester United,Leeds United,2.0,2.0,D
210,West Ham United,Chelsea,1.0,1.0,D
211,Arsenal,Brentford,1.0,1.0,D
212,Crystal Palace,Brighton & Hove Albion,1.0,1.0,D
213,Fulham,Nottingham Forest,2.0,0.0,H
214,Leicester City,Tottenham Hotspur,4.0,1.0,H
215,Southampton,Wolverhampton Wanderers,1.0,2.0,A
216,Bournemouth,Newcastle United,1.0,1.0,D
217,Leeds United,Manchester United,0.0,2.0,A
218,Manchester City,Aston Villa,3.0,1.0,H
219,Liverpool,Everton,2.0,0.0,H
220,Arsenal,Manchester City,1.0,3.0,A
221,Aston Villa,Arsenal,2.0,4.0,A
222,Brentford,Crystal Palace,1.0,1.0,D
223,Brighton & Hove Albion,Fulham,0.0,1.0,A
224,Chelsea,Southampton,0.0,1.0,A
225,Everton,Leeds United,1.0,0.0,H
226,Nottingham Forest,Manchester City,1.0,1.0,D
227,Wolverhampton Wanderers,Bournemouth,0.0,1.0,A
228,Newcastle United,Liverpool,0.0,2.0,A
229,Manchester United,Leicester City,3.0,0.0,H
230,Tottenham Hotspur,West Ham United,2.0,0.0,H
231,Fulham,Wolverhampton Wanderers,1.0,1.0,D
232,Everton,Aston Villa,0.0,2.0,A
233,Leeds United,Southampton,1.0,0.0,H
234,Leicester City,Arsenal,0.0,1.0,A
235,West Ham United,Nottingham Forest,4.0,0.0,H
236,Bournemouth,Manchester City,1.0,4.0,A
237,Crystal Palace,Liverpool,0.0,0.0,D
238,Tottenham Hotspur,Chelsea,2.0,0.0,H
239,Arsenal,Everton,4.0,0.0,H
240,Liverpool,Wolverhampton Wanderers,2.0,0.0,H
241,Manchester City,Newcastle United,2.0,0.0,H
242,Arsenal,Bournemouth,3.0,2.0,H
243,Aston Villa,Crystal Palace,1.0,0.0,H
244,Brighton & Hove Albion,West Ham United,4.0,0.0,H
245,Chelsea,Leeds United,1.0,0.0,H
246,Wolverhampton Wanderers,Tottenham Hotspur,1.0,0.0,H
247,Southampton,Leicester City,1.0,0.0,H
248,Nottingham Forest,Everton,2.0,2.0,D
249,Liverpool,Manchester United,7.0,0.0,H
250,Brentford,Fulham,3.0,2.0,H
251,Bournemouth,Liverpool,1.0,0.0,H
252,Everton,Brentford,1.0,0.0,H
253,Leeds United,Brighton & Hove Albion,2.0,2.0,D
254,Leicester City,Chelsea,1.0,3.0,A
255,Tottenham Hotspur,Nottingham Forest,3.0,1.0,H
256,Crystal Palace,Manchester City,0.0,1.0,A
257,Fulham,Arsenal,0.0,3.0,A
258,Manchester United,Southampton,0.0,0.0,D
259,West Ham United,Aston Villa,1.0,1.0,D
260,Newcastle United,Wolverhampton Wanderers,2.0,1.0,H
261,Brighton & Hove Albion,Crystal Palace,1.0,0.0,H
262,Southampton,Brentford,0.0,2.0,A
263,Nottingham Forest,Newcastle United,1.0,2.0,A
264,Aston Villa,Bournemouth,3.0,0.0,H
265,Brentford,Leicester City,1.0,1.0,D
266,Southampton,Tottenham Hotspur,3.0,3.0,D
267,Wolverhampton Wanderers,Leeds United,2.0,4.0,A
268,Chelsea,Everton,2.0,2.0,D
269,Arsenal,Crystal Palace,4.0,1.0,H
270,Manchester City,Liverpool,4.0,1.0,H
271,Arsenal,Leeds United,4.0,1.0,H
272,Bournemouth,Fulham,2.0,1.0,H
273,Brighton & Hove Albion,Brentford,3.0,3.0,D
274,Crystal Palace,Leicester City,2.0,1.0,H
275,Nottingham Forest,Wolverhampton Wanderers,1.0,1.0,D
276,Chelsea,Aston Villa,0.0,2.0,A
277,West Ham United,Southampton,1.0,0.0,H
278,Newcastle United,Manchester United,2.0,0.0,H
279,Everton,Tottenham Hotspur,1.0,1.0,D
280,Bournemouth,Brighton & Hove Albion,0.0,2.0,A
281,Leeds United,Nottingham Forest,2.0,1.0,H
282,Leicester City,Aston Villa,1.0,2.0,A
283,Chelsea,Liverpool,0.0,0.0,D
284,Manchester United,Brentford,1.0,0.0,H
285,West Ham United,Newcastle United,1.0,5.0,A
286,Manchester United,Everton,2.0,0.0,H
287,Aston Villa,Nottingham Forest,2.0,0.0,H
288,Brentford,Newcastle United,1.0,2.0,A
289,Fulham,West Ham United,0.0,1.0,A
290,Leicester City,Bournemouth,0.0,1.0,A
291,Tottenham Hotspur,Brighton & Hove Albion,2.0,1.0,H
292,Wolverhampton Wanderers,Chelsea,1.0,0.0,H
293,Southampton,Manchester City,1.0,4.0,A
294,Leeds United,Crystal Palace,1.0,5.0,A
295,Liverpool,Arsenal,2.0,2.0,D
296,Aston Villa,Newcastle United,3.0,0.0,H
297,Chelsea,Brighton & Hove Albion,1.0,2.0,A
298,Everton,Fulham,1.0,3.0,A
299,Southampton,Crystal Palace,0.0,2.0,A
300,Wolverhampton Wanderers,Brentford,2.0,0.0,H
301,Tottenham Hotspur,Bournemouth,2.0,3.0,A
302,Manchester City,Leicester City,3.0,1.0,H
303,West Ham United,Arsenal,2.0,2.0,D
304,Nottingham Forest,Manchester United,0.0,2.0,A
305,Leeds United,Liverpool,1.0,6.0,A
306,Arsenal,Southampton,3.0,3.0,D
307,Fulham,Leeds United,2.0,1.0,H
308,Brentford,Aston Villa,1.0,1.0,D
309,Crystal Palace,Everton,0.0,0.0,D
310,Leicester City,Wolverhampton Wanderers,2.0,1.0,H
311,Liverpool,Nottingham Forest,3.0,2.0,H
312,Bournemouth,West Ham United,0.0,4.0,A
313,Newcastle United,Tottenham Hotspur,6.0,1.0,H
314,Wolverhampton Wanderers,Crystal Palace,2.0,0.0,H
315,Aston Villa,Fulham,1.0,0.0,H
316,Leeds United,Leicester City,1.0,1.0,D
317,Nottingham Forest,Brighton & Hove Albion,3.0,1.0,H
318,Chelsea,Brentford,0.0,2.0,A
319,West Ham United,Liverpool,1.0,2.0,A
320,Manchester City,Arsenal,4.0,1.0,H
321,Everton,Newcastle United,1.0,4.0,A
322,Southampton,Bournemouth,0.0,1.0,A
323,Tottenham Hotspur,Manchester United,2.0,2.0,D
324,Crystal Palace,West Ham United,4.0,3.0,H
325,Brentford,Nottingham Forest,2.0,1.0,H
326,Brighton & Hove Albion,Wolverhampton Wanderers,6.0,0.0,H
327,Bournemouth,Leeds United,4.0,1.0,H
328,Fulham,Manchester City,1.0,2.0,A
329,Manchester United,Aston Villa,1.0,0.0,H
330,Newcastle United,Southampton,3.0,1.0,H
331,Liverpool,Tottenham Hotspur,4.0,3.0,H
332,Leicester City,Everton,2.0,2.0,D
333,Arsenal,Chelsea,3.0,1.0,H
334,Liverpool,Fulham,1.0,0.0,H
335,Manchester City,West Ham United,3.0,0.0,H
336,Brighton & Hove Albion,Manchester United,1.0,0.0,H
337,Bournemouth,Chelsea,1.0,3.0,A
338,Manchester City,Leeds United,2.0,1.0,H
339,Tottenham Hotspur,Crystal Palace,1.0,0.0,H
340,Wolverhampton Wanderers,Aston Villa,1.0,0.0,H
341,Liverpool,Brentford,1.0,0.0,H
342,Newcastle United,Arsenal,0.0,2.0,A
343,West Ham United,Manchester United,1.0,0.0,H
344,Fulham,Leicester City,5.0,3.0,H
345,Brighton & Hove Albion,Everton,1.0,5.0,A
346,Nottingham Forest,Southampton,4.0,3.0,H
347,Leeds United,Newcastle United,2.0,2.0,D
348,Aston Villa,Tottenham Hotspur,2.0,1.0,H
349,Chelsea,Nottingham Forest,2.0,2.0,D
350,Crystal Palace,Bournemouth,2.0,0.0,H
351,Manchester United,Wolverhampton Wanderers,2.0,0.0,H
352,Southampton,Fulham,0.0,2.0,A
353,Brentford,West Ham United,2.0,0.0,H
354,Everton,Manchester City,0.0,3.0,A
355,Arsenal,Brighton & Hove Albion,0.0,3.0,A
356,Leicester City,Liverpool,0.0,3.0,A
357,Newcastle United,Brighton & Hove Albion,4.0,1.0,H
358,Tottenham Hotspur,Brentford,1.0,3.0,A
359,Bournemouth,Manchester United,0.0,1.0,A
360,Fulham,Crystal Palace,2.0,2.0,D
361,Liverpool,Aston Villa,1.0,1.0,D
362,Wolverhampton Wanderers,Everton,1.0,1.0,D
363,Nottingham Forest,Arsenal,1.0,0.0,H
364,West Ham United,Leeds United,3.0,1.0,H
365,Brighton & Hove Albion,Southampton,3.0,1.0,H
366,Manchester City,Chelsea,1.0,0.0,H
367,Newcastle United,Leicester City,0.0,0.0,D
368,Brighton & Hove Albion,Manchester City,1.0,1.0,D
369,Manchester United,Chelsea,4.0,1.0,H
370,Arsenal,Wolverhampton Wanderers,5.0,0.0,H
371,Aston Villa,Brighton & Hove Albion,2.0,1.0,H
372,Brentford,Manchester City,1.0,0.0,H
373,Chelsea,Newcastle United,1.0,1.0,D
374,Crystal Palace,Nottingham Forest,1.0,1.0,D
375,Everton,Bournemouth,1.0,0.0,H
376,Leeds United,Tottenham Hotspur,1.0,4.0,A
377,Leicester City,West Ham United,2.0,1.0,H
378,Manchester United,Fulham,2.0,1.0,H
379,Southampton,Liverpool,4.0,4.0,D
