,wins,losses,touches,own_goals,total_yel_card,total_red_card,goals,total_pass,total_scoring_att,total_offside,hit_woodwork,big_chance_missed,total_tackle,total_clearance,clearance_off_line,dispossessed,clean_sheet,saves,penalty_save,total_high_claim,punches
Liverpool,32.0,3.0,30987.0,1.0,38.0,1.0,85.0,23872.0,591.0,53.0,17.0,65.0,550.0,587.0,2.0,306.0,15.0,76.0,0.0,18.0,14.0
Manchester City,26.0,9.0,33242.0,1.0,60.0,4.0,102.0,26329.0,745.0,69.0,27.0,83.0,514.0,476.0,3.0,341.0,17.0,76.0,0.0,15.0,10.0
Chelsea,20.0,12.0,30948.0,3.0,60.0,0.0,69.0,23245.0,625.0,63.0,14.0,70.0,638.0,586.0,3.0,414.0,9.0,65.0,0.0,21.0,6.0
Leicester City,18.0,12.0,27659.0,3.0,41.0,3.0,67.0,19915.0,540.0,64.0,12.0,49.0,742.0,700.0,1.0,328.0,13.0,96.0,2.0,14.0,8.0
Manchester United,18.0,8.0,27360.0,1.0,73.0,0.0,66.0,20059.0,544.0,56.0,15.0,52.0,580.0,627.0,0.0,396.0,13.0,96.0,0.0,13.0,10.0
Tottenham Hotspur,16.0,11.0,26302.0,2.0,82.0,3.0,61.0,18644.0,444.0,66.0,7.0,35.0,665.0,841.0,4.0,437.0,8.0,140.0,2.0,24.0,13.0
Burnley,15.0,14.0,19973.0,1.0,67.0,0.0,43.0,12814.0,387.0,89.0,8.0,56.0,547.0,833.0,4.0,291.0,15.0,120.0,1.0,52.0,11.0
Southampton,15.0,16.0,23611.0,1.0,53.0,4.0,51.0,15667.0,499.0,58.0,16.0,46.0,706.0,824.0,1.0,362.0,9.0,109.0,1.0,29.0,16.0
Wolverhampton Wanderers,15.0,9.0,24066.0,1.0,57.0,2.0,52.0,16764.0,461.0,49.0,10.0,47.0,646.0,652.0,1.0,338.0,13.0,91.0,2.0,21.0,5.0
Arsenal,14.0,10.0,25916.0,0.0,86.0,5.0,56.0,18649.0,406.0,73.0,15.0,31.0,584.0,703.0,6.0,370.0,10.0,147.0,1.0,25.0,18.0
Sheffield United,14.0,12.0,22145.0,0.0,61.0,3.0,39.0,14922.0,353.0,78.0,3.0,49.0,611.0,880.0,1.0,292.0,13.0,102.0,1.0,21.0,16.0
Everton,13.0,15.0,23388.0,3.0,70.0,3.0,44.0,15826.0,469.0,58.0,13.0,47.0,671.0,731.0,1.0,345.0,9.0,95.0,0.0,25.0,11.0
Crystal Palace,11.0,17.0,22571.0,2.0,62.0,3.0,31.0,14688.0,376.0,53.0,8.0,26.0,686.0,802.0,3.0,479.0,10.0,126.0,0.0,23.0,24.0
Newcastle United,11.0,16.0,20238.0,2.0,66.0,3.0,38.0,13066.0,399.0,75.0,11.0,36.0,603.0,934.0,6.0,288.0,11.0,140.0,0.0,21.0,19.0
West Ham United,10.0,19.0,22359.0,3.0,62.0,2.0,49.0,15101.0,417.0,66.0,10.0,43.0,696.0,752.0,2.0,322.0,7.0,129.0,1.0,13.0,24.0
Aston Villa,9.0,21.0,21368.0,1.0,68.0,1.0,41.0,13835.0,457.0,62.0,10.0,39.0,523.0,840.0,5.0,313.0,7.0,116.0,1.0,23.0,10.0
Bournemouth,9.0,22.0,22199.0,0.0,74.0,3.0,40.0,14694.0,389.0,67.0,11.0,36.0,507.0,926.0,4.0,384.0,5.0,131.0,1.0,20.0,18.0
Brighton & Hove Albion,9.0,15.0,25716.0,3.0,57.0,2.0,39.0,18188.0,462.0,71.0,8.0,48.0,641.0,704.0,4.0,399.0,9.0,117.0,1.0,21.0,11.0
Watford,8.0,20.0,21331.0,3.0,76.0,3.0,36.0,14067.0,424.0,68.0,9.0,41.0,657.0,822.0,5.0,348.0,9.0,117.0,1.0,30.0,13.0
Norwich City,5.0,27.0,24910.0,3.0,68.0,3.0,26.0,17362.0,409.0,50.0,16.0,31.0,628.0,891.0,5.0,405.0,5.0,140.0,4.0,31.0,23.0
