,wins,losses,touches,own_goals,total_yel_card,total_red_card,goals,total_pass,total_scoring_att,total_offside,hit_woodwork,big_chance_missed,total_tackle,total_clearance,clearance_off_line,dispossessed,clean_sheet,saves,penalty_save,total_high_claim,punches
Manchester City,28.0,5.0,28626.0,2.0,51.0,5.0,93.0,20863.0,738.0,85.0,21.0,65.0,694.0,930.0,6.0,480.0,17.0,2.0,1.0,39.0,21.0
Manchester United,28.0,5.0,28118.0,2.0,51.0,1.0,89.0,20193.0,646.0,89.0,17.0,64.0,803.0,1165.0,3.0,521.0,20.0,6.0,1.0,37.0,26.0
Arsenal,21.0,10.0,28348.0,5.0,64.0,4.0,74.0,20613.0,637.0,88.0,15.0,74.0,751.0,766.0,3.0,587.0,13.0,6.0,1.0,52.0,27.0
Tottenham Hotspur,20.0,9.0,27761.0,1.0,43.0,3.0,66.0,19564.0,701.0,93.0,12.0,62.0,733.0,1045.0,6.0,539.0,14.0,0.0,0.0,28.0,12.0
Newcastle United,19.0,11.0,22210.0,0.0,67.0,2.0,56.0,14638.0,489.0,97.0,19.0,27.0,744.0,987.0,12.0,592.0,15.0,1.0,2.0,59.0,23.0
Chelsea,18.0,10.0,26276.0,1.0,74.0,4.0,65.0,18766.0,671.0,70.0,20.0,37.0,698.0,881.0,10.0,571.0,10.0,1.0,0.0,70.0,17.0
Everton,15.0,12.0,22711.0,3.0,60.0,2.0,50.0,15069.0,520.0,116.0,12.0,43.0,624.0,1130.0,2.0,487.0,12.0,2.0,2.0,57.0,25.0
Fulham,14.0,14.0,24891.0,2.0,54.0,0.0,48.0,17669.0,541.0,85.0,24.0,38.0,669.0,1005.0,4.0,469.0,11.0,0.0,0.0,69.0,26.0
Liverpool,14.0,14.0,26450.0,3.0,53.0,5.0,47.0,18797.0,667.0,128.0,33.0,66.0,728.0,720.0,2.0,440.0,12.0,0.0,1.0,22.0,19.0
West Bromwich Albion,13.0,17.0,22205.0,2.0,48.0,1.0,45.0,14691.0,544.0,128.0,13.0,34.0,683.0,960.0,7.0,419.0,10.0,4.0,2.0,60.0,19.0
Norwich City,12.0,15.0,22830.0,1.0,58.0,3.0,52.0,15165.0,514.0,74.0,7.0,30.0,692.0,1451.0,9.0,379.0,3.0,0.0,2.0,56.0,20.0
Swansea City,12.0,15.0,28300.0,2.0,40.0,2.0,44.0,20795.0,472.0,67.0,14.0,36.0,709.0,1048.0,3.0,518.0,14.0,0.0,2.0,69.0,22.0
Stoke City,11.0,15.0,18938.0,3.0,60.0,2.0,36.0,10836.0,376.0,62.0,7.0,33.0,655.0,1910.0,4.0,460.0,9.0,15.0,0.0,68.0,23.0
Sunderland,11.0,15.0,21770.0,2.0,60.0,4.0,45.0,13913.0,458.0,76.0,11.0,39.0,824.0,1158.0,8.0,423.0,12.0,0.0,1.0,65.0,26.0
Wigan Athletic,11.0,17.0,22957.0,1.0,67.0,3.0,42.0,15731.0,519.0,71.0,13.0,41.0,729.0,925.0,3.0,414.0,8.0,0.0,4.0,42.0,23.0
Bolton Wanderers,10.0,22.0,21694.0,1.0,50.0,5.0,46.0,13580.0,495.0,55.0,8.0,25.0,732.0,1255.0,8.0,442.0,3.0,0.0,1.0,58.0,16.0
Queens Park Rangers,10.0,21.0,21310.0,2.0,54.0,9.0,43.0,13408.0,539.0,83.0,15.0,23.0,764.0,1412.0,8.0,429.0,7.0,16.0,0.0,26.0,22.0
Blackburn Rovers,8.0,23.0,20036.0,4.0,66.0,5.0,48.0,12424.0,453.0,58.0,10.0,37.0,690.0,1328.0,6.0,370.0,3.0,0.0,1.0,53.0,10.0
Aston Villa,7.0,14.0,21017.0,2.0,70.0,2.0,37.0,13158.0,438.0,85.0,9.0,39.0,774.0,1301.0,8.0,300.0,9.0,0.0,0.0,41.0,15.0
Wolverhampton Wanderers,5.0,23.0,22585.0,2.0,64.0,4.0,40.0,14860.0,473.0,82.0,10.0,29.0,619.0,1178.0,6.0,425.0,4.0,9.0,2.0,81.0,22.0
