,wins,losses,touches,own_goals,total_yel_card,total_red_card,goals,total_pass,total_scoring_att,total_offside,hit_woodwork,big_chance_missed,total_tackle,total_clearance,clearance_off_line,dispossessed,clean_sheet,saves,penalty_save,total_high_claim,punches
Arsenal,28.0,5.0,27746.0,1.0,62.0,2.0,91.0,21052.0,657.0,87.0,13.0,63.0,610.0,481.0,4.0,375.0,18.0,55.0,1.0,48.0,5.0
Manchester City,28.0,3.0,32741.0,1.0,52.0,2.0,96.0,26251.0,693.0,42.0,11.0,73.0,517.0,420.0,2.0,356.0,13.0,77.0,0.0,31.0,7.0
Liverpool,24.0,4.0,30143.0,2.0,65.0,5.0,86.0,22515.0,790.0,100.0,25.0,79.0,677.0,565.0,2.0,407.0,10.0,111.0,0.0,18.0,13.0
Aston Villa,20.0,10.0,24480.0,4.0,94.0,2.0,76.0,17876.0,515.0,47.0,12.0,58.0,547.0,562.0,7.0,416.0,8.0,116.0,1.0,51.0,5.0
Tottenham Hotspur,20.0,12.0,30093.0,3.0,89.0,4.0,74.0,22488.0,584.0,83.0,18.0,65.0,724.0,652.0,3.0,375.0,7.0,110.0,0.0,33.0,15.0
Chelsea,18.0,11.0,29229.0,3.0,105.0,4.0,77.0,21926.0,549.0,85.0,17.0,73.0,663.0,731.0,2.0,370.0,8.0,128.0,1.0,39.0,10.0
Manchester United,18.0,14.0,25241.0,1.0,81.0,1.0,57.0,18070.0,550.0,91.0,9.0,50.0,676.0,833.0,7.0,342.0,9.0,149.0,0.0,42.0,13.0
Newcastle United,18.0,14.0,25467.0,1.0,77.0,1.0,85.0,18230.0,551.0,59.0,13.0,70.0,661.0,651.0,7.0,400.0,10.0,135.0,1.0,30.0,18.0
West Ham United,14.0,14.0,22281.0,4.0,76.0,3.0,60.0,14732.0,450.0,71.0,14.0,46.0,684.0,862.0,5.0,397.0,5.0,171.0,2.0,35.0,16.0
Bournemouth,13.0,16.0,22100.0,1.0,79.0,3.0,54.0,14204.0,542.0,56.0,13.0,49.0,693.0,788.0,4.0,386.0,9.0,133.0,1.0,31.0,29.0
Crystal Palace,13.0,15.0,22754.0,2.0,69.0,2.0,57.0,15252.0,456.0,72.0,8.0,35.0,788.0,868.0,3.0,424.0,10.0,99.0,0.0,30.0,22.0
Everton,13.0,16.0,21224.0,3.0,80.0,1.0,40.0,13764.0,507.0,89.0,18.0,63.0,743.0,839.0,6.0,320.0,13.0,121.0,0.0,30.0,15.0
Fulham,13.0,17.0,25593.0,4.0,78.0,4.0,55.0,18587.0,501.0,51.0,19.0,35.0,679.0,716.0,6.0,325.0,10.0,134.0,0.0,19.0,18.0
Wolverhampton Wanderers,13.0,18.0,24999.0,1.0,100.0,4.0,50.0,17636.0,429.0,78.0,12.0,42.0,739.0,786.0,11.0,389.0,5.0,142.0,0.0,45.0,11.0
Brighton & Hove Albion,12.0,14.0,30398.0,2.0,91.0,3.0,55.0,23547.0,561.0,84.0,11.0,61.0,644.0,572.0,6.0,342.0,6.0,108.0,0.0,24.0,8.0
Brentford,10.0,19.0,22441.0,0.0,89.0,2.0,56.0,15223.0,473.0,70.0,13.0,69.0,677.0,865.0,3.0,271.0,7.0,121.0,0.0,46.0,24.0
Nottingham Forest,9.0,20.0,21318.0,2.0,78.0,3.0,49.0,14170.0,451.0,77.0,15.0,51.0,728.0,910.0,7.0,286.0,4.0,103.0,0.0,44.0,15.0
Luton Town,6.0,24.0,20998.0,4.0,71.0,0.0,52.0,13310.0,432.0,67.0,13.0,27.0,652.0,868.0,10.0,385.0,2.0,147.0,0.0,16.0,8.0
Burnley,5.0,24.0,23362.0,3.0,71.0,7.0,41.0,16447.0,433.0,76.0,6.0,43.0,607.0,823.0,3.0,296.0,2.0,170.0,1.0,50.0,24.0
Sheffield United,3.0,28.0,19093.0,7.0,95.0,5.0,35.0,12218.0,365.0,64.0,7.0,41.0,709.0,997.0,6.0,322.0,1.0,170.0,0.0,39.0,16.0
