,wins,losses,touches,own_goals,total_yel_card,total_red_card,goals,total_pass,total_scoring_att,total_offside,hit_woodwork,big_chance_missed,total_tackle,total_clearance,clearance_off_line,dispossessed,clean_sheet,saves,penalty_save,total_high_claim,punches
Leicester City,23.0,3.0,21710.0,0.0,48.0,3.0,68.0,13370.0,522.0,50.0,11.0,61.0,869.0,1040.0,7.0,366.0,15.0,99.0,0.0,49.0,22.0
Arsenal,20.0,7.0,29337.0,3.0,40.0,4.0,65.0,21249.0,571.0,86.0,21.0,69.0,709.0,849.0,3.0,511.0,18.0,118.0,0.0,45.0,20.0
Manchester City,19.0,10.0,28396.0,1.0,61.0,0.0,71.0,20488.0,615.0,63.0,15.0,50.0,729.0,940.0,2.0,556.0,16.0,86.0,0.0,38.0,41.0
Manchester United,19.0,10.0,27542.0,2.0,65.0,1.0,49.0,20070.0,430.0,75.0,9.0,28.0,760.0,755.0,4.0,522.0,18.0,90.0,0.0,29.0,13.0
Tottenham Hotspur,19.0,6.0,27014.0,3.0,72.0,0.0,69.0,18649.0,659.0,72.0,19.0,47.0,805.0,1046.0,2.0,581.0,13.0,89.0,0.0,38.0,27.0
Southampton,18.0,11.0,23716.0,0.0,57.0,6.0,59.0,15913.0,519.0,98.0,13.0,43.0,714.0,1101.0,6.0,425.0,12.0,94.0,0.0,36.0,12.0
Liverpool,16.0,10.0,27890.0,1.0,61.0,3.0,63.0,19733.0,629.0,91.0,16.0,36.0,871.0,871.0,2.0,560.0,11.0,81.0,1.0,41.0,18.0
West Ham United,16.0,8.0,23104.0,2.0,58.0,5.0,65.0,15031.0,558.0,82.0,19.0,39.0,711.0,1003.0,8.0,389.0,11.0,111.0,2.0,50.0,19.0
Stoke City,14.0,15.0,23663.0,0.0,51.0,4.0,41.0,16342.0,419.0,103.0,5.0,35.0,710.0,826.0,3.0,359.0,10.0,121.0,0.0,59.0,15.0
Chelsea,12.0,12.0,27362.0,2.0,58.0,5.0,59.0,19664.0,526.0,90.0,4.0,33.0,790.0,790.0,4.0,413.0,9.0,122.0,1.0,54.0,27.0
Swansea City,12.0,15.0,25989.0,5.0,60.0,1.0,42.0,18169.0,441.0,82.0,14.0,31.0,638.0,1058.0,2.0,465.0,9.0,119.0,0.0,85.0,34.0
Watford,12.0,17.0,22362.0,2.0,73.0,3.0,40.0,14531.0,446.0,52.0,9.0,31.0,794.0,931.0,2.0,391.0,11.0,121.0,3.0,67.0,66.0
Bournemouth,11.0,18.0,25291.0,0.0,53.0,1.0,45.0,17270.0,464.0,66.0,8.0,25.0,709.0,951.0,2.0,410.0,7.0,90.0,2.0,58.0,12.0
Crystal Palace,11.0,18.0,21861.0,4.0,60.0,2.0,39.0,13785.0,469.0,81.0,12.0,36.0,649.0,963.0,4.0,467.0,8.0,122.0,0.0,43.0,5.0
Everton,11.0,13.0,25741.0,1.0,44.0,5.0,59.0,17947.0,491.0,55.0,18.0,49.0,730.0,994.0,4.0,453.0,10.0,127.0,0.0,53.0,14.0
West Bromwich Albion,10.0,15.0,19822.0,3.0,65.0,3.0,34.0,12262.0,388.0,68.0,10.0,28.0,642.0,992.0,5.0,480.0,11.0,109.0,0.0,54.0,14.0
Newcastle United,9.0,19.0,22993.0,2.0,60.0,5.0,44.0,15118.0,397.0,59.0,6.0,26.0,793.0,939.0,2.0,435.0,8.0,115.0,1.0,70.0,31.0
Norwich City,9.0,22.0,21936.0,2.0,61.0,3.0,39.0,14483.0,418.0,93.0,11.0,31.0,608.0,1212.0,4.0,426.0,5.0,103.0,0.0,63.0,20.0
Sunderland,9.0,17.0,20339.0,1.0,64.0,2.0,48.0,12799.0,439.0,88.0,10.0,29.0,767.0,1277.0,7.0,376.0,7.0,156.0,0.0,64.0,19.0
Aston Villa,3.0,27.0,23234.0,4.0,75.0,3.0,27.0,15308.0,380.0,42.0,7.0,20.0,731.0,973.0,5.0,338.0,6.0,116.0,1.0,66.0,28.0
