,wins,losses,touches,own_goals,total_yel_card,total_red_card,goals,total_pass,total_scoring_att,total_offside,hit_woodwork,big_chance_missed,total_tackle,total_clearance,clearance_off_line,dispossessed,clean_sheet,saves,penalty_save,total_high_claim,punches
Manchester City,32.0,2.0,35130.0,2.0,59.0,2.0,106.0,28241.0,665.0,67.0,23.0,63.0,563.0,588.0,4.0,406.0,18.0,62.0,2.0,21.0,15.0
Manchester United,25.0,7.0,27525.0,2.0,64.0,1.0,68.0,20064.0,512.0,88.0,16.0,42.0,564.0,853.0,4.0,399.0,19.0,118.0,0.0,20.0,6.0
Tottenham Hotspur,23.0,7.0,29412.0,1.0,50.0,2.0,74.0,21660.0,623.0,88.0,13.0,50.0,618.0,825.0,1.0,460.0,16.0,93.0,0.0,20.0,21.0
Chelsea,21.0,10.0,28728.0,2.0,42.0,4.0,62.0,21264.0,606.0,108.0,11.0,48.0,636.0,768.0,3.0,415.0,16.0,83.0,0.0,27.0,12.0
Liverpool,21.0,5.0,30324.0,0.0,44.0,1.0,84.0,22962.0,638.0,70.0,16.0,61.0,637.0,736.0,2.0,447.0,17.0,67.0,2.0,25.0,20.0
Arsenal,19.0,13.0,30635.0,0.0,57.0,2.0,74.0,23524.0,594.0,89.0,17.0,57.0,623.0,829.0,5.0,412.0,13.0,100.0,1.0,39.0,24.0
Burnley,14.0,12.0,20732.0,1.0,65.0,0.0,36.0,13572.0,378.0,100.0,9.0,22.0,533.0,1184.0,5.0,344.0,12.0,122.0,1.0,60.0,19.0
Everton,13.0,15.0,22298.0,1.0,51.0,3.0,44.0,14749.0,359.0,82.0,7.0,36.0,644.0,1229.0,6.0,381.0,10.0,121.0,1.0,28.0,23.0
Leicester City,12.0,15.0,22770.0,2.0,52.0,5.0,56.0,15200.0,423.0,92.0,8.0,35.0,630.0,920.0,4.0,358.0,9.0,107.0,2.0,29.0,23.0
Newcastle United,12.0,18.0,21506.0,3.0,52.0,2.0,39.0,14028.0,451.0,63.0,12.0,33.0,644.0,1125.0,7.0,410.0,9.0,105.0,2.0,40.0,18.0
Bournemouth,11.0,16.0,23634.0,1.0,55.0,1.0,45.0,16131.0,465.0,52.0,10.0,24.0,508.0,1037.0,6.0,419.0,6.0,111.0,1.0,37.0,20.0
Crystal Palace,11.0,16.0,22434.0,2.0,72.0,0.0,45.0,14372.0,476.0,56.0,8.0,55.0,685.0,1022.0,6.0,482.0,9.0,122.0,0.0,39.0,11.0
Watford,11.0,19.0,23127.0,1.0,63.0,4.0,44.0,15654.0,440.0,74.0,8.0,36.0,668.0,953.0,5.0,410.0,9.0,95.0,0.0,25.0,28.0
West Ham United,10.0,16.0,21928.0,1.0,73.0,2.0,48.0,14369.0,372.0,97.0,14.0,29.0,621.0,1007.0,4.0,390.0,10.0,122.0,1.0,19.0,19.0
Brighton & Hove Albion,9.0,16.0,21668.0,5.0,54.0,2.0,34.0,14675.0,384.0,98.0,8.0,30.0,599.0,1085.0,10.0,296.0,10.0,124.0,2.0,38.0,14.0
Huddersfield Town,9.0,19.0,22619.0,1.0,62.0,3.0,28.0,14960.0,362.0,67.0,8.0,21.0,744.0,1070.0,6.0,416.0,10.0,103.0,2.0,31.0,24.0
Swansea City,8.0,21.0,22775.0,2.0,51.0,1.0,28.0,15721.0,338.0,38.0,8.0,26.0,610.0,943.0,1.0,439.0,9.0,137.0,3.0,44.0,15.0
Southampton,7.0,16.0,24639.0,1.0,63.0,2.0,37.0,17174.0,450.0,73.0,15.0,37.0,658.0,953.0,4.0,379.0,8.0,110.0,1.0,29.0,13.0
Stoke City,7.0,19.0,20368.0,2.0,62.0,1.0,35.0,12892.0,384.0,87.0,8.0,33.0,678.0,1164.0,3.0,402.0,6.0,152.0,0.0,27.0,14.0
West Bromwich Albion,6.0,19.0,20552.0,2.0,73.0,1.0,31.0,13218.0,378.0,79.0,7.0,28.0,604.0,993.0,3.0,446.0,10.0,102.0,0.0,40.0,5.0
