,wins,losses,touches,own_goals,total_yel_card,total_red_card,goals,total_pass,total_scoring_att,total_offside,hit_woodwork,big_chance_missed,total_tackle,total_clearance,clearance_off_line,dispossessed,clean_sheet,saves,penalty_save,total_high_claim,punches
Arsenal,21.0,10.0,28126.0,2.0,72.0,2.0,73.0,20805.0,467.0,89.0,9.0,50.0,609.0,762.0,3.0,409.0,8.0,133.0,0.0,16.0,19.0
Bournemouth,13.0,19.0,23367.0,3.0,60.0,1.0,56.0,15943.0,446.0,57.0,12.0,57.0,526.0,1019.0,4.0,355.0,10.0,110.0,0.0,29.0,8.0
Brighton & Hove Albion,9.0,20.0,21447.0,0.0,60.0,4.0,35.0,14109.0,371.0,90.0,6.0,23.0,681.0,921.0,7.0,335.0,7.0,111.0,0.0,21.0,9.0
Burnley,11.0,20.0,20291.0,4.0,75.0,1.0,45.0,13011.0,360.0,106.0,12.0,41.0,583.0,1080.0,12.0,315.0,8.0,140.0,1.0,15.0,11.0
Cardiff City,10.0,24.0,17503.0,0.0,66.0,1.0,34.0,10226.0,417.0,77.0,14.0,32.0,655.0,978.0,5.0,332.0,10.0,141.0,3.0,15.0,11.0
Chelsea,21.0,8.0,32358.0,0.0,49.0,0.0,63.0,25070.0,607.0,83.0,21.0,61.0,618.0,593.0,3.0,458.0,16.0,85.0,1.0,16.0,11.0
Crystal Palace,14.0,17.0,23211.0,1.0,58.0,2.0,51.0,15243.0,493.0,78.0,16.0,38.0,730.0,940.0,2.0,472.0,12.0,113.0,1.0,28.0,26.0
Everton,15.0,14.0,24496.0,2.0,55.0,4.0,54.0,16494.0,498.0,69.0,16.0,50.0,700.0,825.0,1.0,466.0,14.0,94.0,3.0,14.0,14.0
Fulham,7.0,26.0,25208.0,2.0,68.0,2.0,34.0,17699.0,454.0,90.0,13.0,45.0,591.0,971.0,1.0,483.0,5.0,147.0,1.0,9.0,30.0
Huddersfield Town,3.0,28.0,23238.0,1.0,55.0,4.0,22.0,15902.0,400.0,63.0,11.0,24.0,710.0,658.0,5.0,399.0,5.0,114.0,1.0,30.0,21.0
Leicester City,15.0,16.0,25054.0,0.0,57.0,5.0,51.0,17219.0,515.0,72.0,10.0,46.0,676.0,945.0,1.0,357.0,10.0,90.0,0.0,13.0,16.0
Liverpool,30.0,1.0,30897.0,0.0,38.0,2.0,89.0,23638.0,575.0,77.0,19.0,54.0,610.0,639.0,1.0,424.0,21.0,76.0,0.0,17.0,17.0
Manchester City,32.0,4.0,33593.0,0.0,44.0,1.0,95.0,26581.0,683.0,98.0,21.0,71.0,518.0,543.0,2.0,393.0,20.0,58.0,0.0,20.0,6.0
Manchester United,19.0,10.0,26476.0,3.0,73.0,4.0,65.0,19202.0,526.0,90.0,9.0,61.0,581.0,785.0,2.0,424.0,7.0,122.0,0.0,10.0,13.0
Newcastle United,12.0,17.0,21317.0,1.0,57.0,2.0,42.0,13490.0,446.0,59.0,14.0,32.0,714.0,1120.0,6.0,402.0,11.0,95.0,0.0,45.0,15.0
Southampton,9.0,17.0,22109.0,3.0,71.0,3.0,45.0,14297.0,483.0,61.0,13.0,50.0,699.0,1068.0,4.0,378.0,7.0,114.0,1.0,20.0,20.0
Tottenham Hotspur,23.0,13.0,28688.0,3.0,56.0,3.0,67.0,21295.0,537.0,74.0,13.0,52.0,626.0,770.0,4.0,351.0,13.0,121.0,2.0,16.0,23.0
Watford,14.0,16.0,22878.0,3.0,77.0,4.0,52.0,15462.0,437.0,89.0,9.0,54.0,655.0,956.0,3.0,419.0,7.0,127.0,1.0,32.0,11.0
West Ham United,15.0,16.0,24045.0,2.0,59.0,1.0,52.0,16358.0,441.0,72.0,13.0,33.0,723.0,855.0,2.0,390.0,7.0,148.0,1.0,29.0,17.0
Wolverhampton Wanderers,16.0,13.0,23969.0,4.0,72.0,1.0,47.0,16618.0,477.0,73.0,14.0,48.0,720.0,824.0,3.0,401.0,9.0,100.0,0.0,16.0,8.0
