,wins,losses,touches,own_goals,total_yel_card,total_red_card,goals,total_pass,total_scoring_att,total_offside,hit_woodwork,big_chance_missed,total_tackle,total_clearance,clearance_off_line,dispossessed,clean_sheet,saves,penalty_save,total_high_claim,punches
Chelsea,26.0,3.0,27861.0,1.0,73.0,4.0,73.0,20268.0,564.0,75.0,15.0,40.0,759.0,1027.0,2.0,476.0,17.0,90.0,0.0,73.0,13.0
Manchester City,24.0,7.0,29652.0,3.0,77.0,2.0,83.0,22107.0,670.0,78.0,18.0,42.0,751.0,872.0,1.0,546.0,14.0,93.0,1.0,52.0,31.0
Arsenal,22.0,7.0,29045.0,1.0,68.0,2.0,71.0,20527.0,610.0,64.0,13.0,51.0,739.0,1006.0,2.0,476.0,13.0,96.0,0.0,76.0,13.0
Manchester United,20.0,8.0,29044.0,1.0,64.0,5.0,62.0,21311.0,512.0,87.0,11.0,43.0,739.0,1118.0,5.0,393.0,11.0,100.0,1.0,33.0,7.0
Tottenham Hotspur,19.0,12.0,27495.0,2.0,79.0,4.0,58.0,19322.0,527.0,77.0,11.0,39.0,815.0,1047.0,1.0,552.0,9.0,119.0,1.0,51.0,28.0
Liverpool,18.0,12.0,27349.0,2.0,66.0,3.0,52.0,19374.0,590.0,75.0,12.0,34.0,798.0,1175.0,3.0,468.0,14.0,93.0,2.0,38.0,41.0
Southampton,18.0,14.0,25814.0,0.0,57.0,3.0,54.0,18184.0,509.0,93.0,17.0,44.0,813.0,875.0,4.0,422.0,15.0,80.0,0.0,50.0,15.0
Swansea City,16.0,14.0,25645.0,1.0,48.0,5.0,46.0,17877.0,426.0,80.0,12.0,35.0,634.0,1203.0,3.0,363.0,13.0,141.0,0.0,91.0,31.0
Stoke City,15.0,14.0,23427.0,0.0,82.0,1.0,48.0,15386.0,500.0,75.0,9.0,32.0,729.0,1159.0,3.0,428.0,9.0,96.0,0.0,68.0,12.0
Crystal Palace,13.0,16.0,20386.0,0.0,63.0,4.0,47.0,12071.0,441.0,77.0,14.0,25.0,791.0,1270.0,7.0,325.0,7.0,94.0,2.0,77.0,9.0
Everton,12.0,15.0,26729.0,2.0,66.0,2.0,48.0,18809.0,483.0,83.0,11.0,32.0,657.0,1280.0,3.0,461.0,10.0,80.0,0.0,71.0,24.0
West Ham United,12.0,15.0,21792.0,2.0,64.0,2.0,44.0,13568.0,488.0,91.0,13.0,37.0,647.0,1474.0,3.0,404.0,9.0,133.0,3.0,52.0,15.0
Leicester City,11.0,19.0,21547.0,5.0,49.0,4.0,46.0,13343.0,456.0,60.0,12.0,44.0,791.0,1177.0,2.0,355.0,10.0,124.0,0.0,38.0,26.0
West Bromwich Albion,11.0,16.0,21820.0,0.0,64.0,3.0,38.0,14445.0,412.0,65.0,10.0,25.0,696.0,1084.0,4.0,507.0,16.0,131.0,1.0,76.0,13.0
Aston Villa,10.0,20.0,23785.0,1.0,70.0,7.0,31.0,16527.0,418.0,70.0,5.0,26.0,623.0,1130.0,2.0,413.0,10.0,112.0,0.0,77.0,18.0
Newcastle United,10.0,19.0,23375.0,1.0,65.0,7.0,40.0,15019.0,468.0,38.0,6.0,34.0,824.0,1020.0,3.0,466.0,8.0,98.0,0.0,53.0,21.0
Hull City,8.0,19.0,22464.0,0.0,73.0,6.0,33.0,14864.0,428.0,72.0,11.0,22.0,763.0,1316.0,7.0,443.0,10.0,102.0,2.0,36.0,23.0
Queens Park Rangers,8.0,24.0,21905.0,4.0,75.0,3.0,42.0,13659.0,534.0,81.0,16.0,39.0,781.0,1445.0,6.0,468.0,6.0,142.0,2.0,57.0,20.0
Burnley,7.0,19.0,21624.0,2.0,64.0,2.0,28.0,13632.0,430.0,64.0,13.0,27.0,615.0,1458.0,8.0,345.0,10.0,128.0,2.0,53.0,15.0
Sunderland,7.0,14.0,22036.0,5.0,94.0,2.0,31.0,14451.0,408.0,69.0,11.0,23.0,759.0,994.0,3.0,411.0,13.0,144.0,0.0,82.0,17.0
