,wins,losses,touches,own_goals,total_yel_card,total_red_card,goals,total_pass,total_scoring_att,total_offside,hit_woodwork,total_tackle,total_clearance,clearance_off_line,dispossessed,clean_sheet,saves,penalty_save,total_high_claim,punches
Arsenal,20.0,6.0,29837.0,3.0,58.0,3.0,68.0,19008.0,662.0,88.0,22.0,875.0,1280.0,9.0,692.0,16.0,3.0,2.0,65.0,26.0
Aston Villa,17.0,10.0,23020.0,0.0,54.0,2.0,54.0,12419.0,472.0,85.0,15.0,982.0,1764.0,4.0,536.0,13.0,0.0,0.0,32.0,26.0
Blackburn Rovers,10.0,17.0,23186.0,2.0,74.0,4.0,40.0,13482.0,473.0,119.0,13.0,824.0,1649.0,9.0,372.0,10.0,16.0,0.0,48.0,36.0
Bolton Wanderers,11.0,19.0,20721.0,2.0,62.0,1.0,41.0,10680.0,488.0,71.0,7.0,890.0,1880.0,5.0,448.0,7.0,5.0,1.0,42.0,28.0
Chelsea,25.0,5.0,29934.0,1.0,50.0,3.0,68.0,19940.0,797.0,114.0,17.0,773.0,1069.0,3.0,518.0,22.0,7.0,1.0,111.0,35.0
Everton,17.0,9.0,25027.0,2.0,49.0,1.0,55.0,15070.0,496.0,99.0,12.0,775.0,1602.0,4.0,584.0,17.0,20.0,0.0,74.0,25.0
Fulham,14.0,13.0,26153.0,0.0,40.0,1.0,39.0,16149.0,511.0,92.0,11.0,812.0,1632.0,8.0,467.0,15.0,9.0,1.0,70.0,44.0
Hull City,8.0,19.0,21721.0,4.0,71.0,3.0,39.0,11818.0,476.0,141.0,9.0,811.0,1677.0,4.0,490.0,6.0,0.0,1.0,56.0,22.0
Liverpool,25.0,2.0,29795.0,3.0,50.0,0.0,77.0,19508.0,736.0,98.0,26.0,927.0,1279.0,0.0,470.0,20.0,5.0,0.0,61.0,19.0
Manchester City,15.0,18.0,26047.0,2.0,49.0,4.0,58.0,15983.0,572.0,79.0,11.0,939.0,1496.0,7.0,578.0,10.0,11.0,1.0,54.0,34.0
Manchester United,28.0,4.0,29912.0,1.0,61.0,5.0,68.0,19444.0,715.0,99.0,9.0,741.0,1322.0,3.0,579.0,24.0,7.0,0.0,56.0,22.0
Middlesbrough,7.0,20.0,23236.0,6.0,55.0,3.0,28.0,13148.0,498.0,121.0,7.0,784.0,1582.0,5.0,540.0,7.0,7.0,0.0,85.0,18.0
Newcastle United,7.0,18.0,24327.0,2.0,57.0,8.0,40.0,14172.0,444.0,73.0,12.0,735.0,1278.0,5.0,659.0,7.0,0.0,1.0,40.0,24.0
Portsmouth,10.0,17.0,25310.0,0.0,58.0,5.0,38.0,14516.0,500.0,81.0,19.0,922.0,1552.0,9.0,601.0,8.0,3.0,1.0,79.0,26.0
Stoke City,12.0,17.0,18390.0,2.0,73.0,5.0,38.0,9554.0,364.0,65.0,11.0,688.0,1555.0,7.0,438.0,12.0,17.0,0.0,85.0,41.0
Sunderland,9.0,20.0,24354.0,2.0,69.0,1.0,34.0,14163.0,473.0,96.0,10.0,888.0,1596.0,4.0,491.0,9.0,9.0,1.0,58.0,27.0
Tottenham Hotspur,14.0,15.0,26576.0,2.0,54.0,5.0,45.0,15723.0,544.0,85.0,7.0,781.0,1511.0,6.0,538.0,13.0,0.0,0.0,69.0,56.0
West Bromwich Albion,8.0,22.0,24813.0,0.0,67.0,1.0,36.0,14537.0,559.0,101.0,16.0,803.0,1477.0,5.0,581.0,8.0,5.0,0.0,60.0,24.0
West Ham United,14.0,15.0,25501.0,2.0,66.0,4.0,42.0,15356.0,515.0,130.0,12.0,896.0,1601.0,7.0,601.0,10.0,17.0,2.0,65.0,37.0
Wigan Athletic,12.0,17.0,22953.0,1.0,59.0,4.0,34.0,12346.0,590.0,101.0,10.0,934.0,1636.0,10.0,445.0,13.0,6.0,1.0,38.0,20.0
