,wins,losses,touches,own_goals,total_yel_card,total_red_card,goals,total_pass,total_scoring_att,total_offside,hit_woodwork,big_chance_missed,total_tackle,total_clearance,clearance_off_line,dispossessed,clean_sheet,saves,penalty_save,total_high_claim,punches
Manchester United,23.0,4.0,26671.0,1.0,56.0,3.0,78.0,18870.0,618.0,102.0,15.0,50.0,693.0,1053.0,2.0,471.0,15.0,0.0,0.0,45.0,16.0
Chelsea,21.0,9.0,27426.0,1.0,59.0,1.0,69.0,19236.0,745.0,113.0,21.0,70.0,769.0,762.0,7.0,573.0,15.0,0.0,1.0,84.0,22.0
Manchester City,21.0,9.0,25892.0,0.0,71.0,5.0,60.0,17768.0,546.0,103.0,16.0,51.0,826.0,1206.0,2.0,520.0,18.0,2.0,1.0,66.0,27.0
Arsenal,19.0,8.0,28629.0,1.0,65.0,6.0,72.0,20150.0,654.0,93.0,23.0,88.0,772.0,1077.0,4.0,601.0,13.0,0.0,2.0,56.0,25.0
Liverpool,17.0,14.0,24959.0,3.0,63.0,2.0,59.0,16734.0,582.0,87.0,12.0,43.0,908.0,1073.0,6.0,493.0,14.0,0.0,0.0,74.0,26.0
Tottenham Hotspur,16.0,8.0,25438.0,1.0,51.0,2.0,55.0,16791.0,657.0,59.0,15.0,51.0,754.0,1363.0,6.0,560.0,8.0,0.0,2.0,68.0,50.0
Everton,13.0,10.0,22628.0,2.0,55.0,5.0,51.0,14371.0,580.0,78.0,8.0,47.0,768.0,1265.0,2.0,525.0,9.0,0.0,0.0,51.0,30.0
Stoke City,13.0,18.0,18195.0,2.0,68.0,2.0,46.0,10349.0,482.0,74.0,20.0,39.0,716.0,1316.0,5.0,449.0,9.0,0.0,2.0,64.0,20.0
Aston Villa,12.0,14.0,22681.0,1.0,71.0,2.0,48.0,14611.0,506.0,92.0,19.0,57.0,844.0,1116.0,7.0,350.0,7.0,0.0,0.0,30.0,25.0
Bolton Wanderers,12.0,16.0,21351.0,0.0,67.0,5.0,52.0,12704.0,570.0,57.0,9.0,42.0,939.0,1466.0,10.0,418.0,5.0,0.0,2.0,46.0,22.0
Sunderland,12.0,15.0,22628.0,1.0,57.0,5.0,45.0,14166.0,532.0,98.0,10.0,35.0,820.0,1291.0,16.0,441.0,13.0,0.0,0.0,62.0,40.0
West Bromwich Albion,12.0,15.0,22224.0,5.0,52.0,7.0,56.0,14252.0,597.0,102.0,12.0,43.0,725.0,1088.0,8.0,524.0,2.0,0.0,0.0,38.0,23.0
Blackburn Rovers,11.0,17.0,19421.0,1.0,65.0,5.0,46.0,11178.0,453.0,87.0,10.0,44.0,748.0,1521.0,8.0,357.0,8.0,0.0,0.0,50.0,26.0
Fulham,11.0,11.0,24796.0,5.0,52.0,1.0,49.0,16345.0,547.0,100.0,10.0,38.0,799.0,1513.0,12.0,559.0,14.0,0.0,1.0,82.0,37.0
Newcastle United,11.0,14.0,22113.0,2.0,78.0,2.0,56.0,14204.0,507.0,82.0,10.0,62.0,666.0,1025.0,7.0,527.0,9.0,3.0,0.0,56.0,26.0
Wolverhampton Wanderers,11.0,20.0,22772.0,2.0,62.0,2.0,46.0,14823.0,459.0,93.0,14.0,29.0,677.0,1205.0,7.0,426.0,5.0,0.0,0.0,84.0,19.0
Blackpool,10.0,19.0,23616.0,5.0,47.0,2.0,55.0,15113.0,531.0,97.0,11.0,46.0,780.0,1616.0,16.0,499.0,6.0,3.0,0.0,49.0,29.0
Wigan Athletic,9.0,14.0,23517.0,0.0,67.0,4.0,40.0,15180.0,511.0,71.0,9.0,39.0,914.0,1196.0,5.0,540.0,7.0,0.0,1.0,50.0,25.0
Birmingham City,8.0,15.0,21652.0,4.0,57.0,3.0,37.0,14036.0,401.0,91.0,11.0,30.0,668.0,1261.0,9.0,375.0,9.0,0.0,1.0,71.0,21.0
West Ham United,7.0,19.0,21823.0,2.0,59.0,1.0,43.0,13367.0,572.0,120.0,18.0,44.0,783.0,1353.0,9.0,574.0,5.0,0.0,1.0,39.0,41.0
