,wins,losses,touches,own_goals,total_yel_card,total_red_card,goals,total_pass,total_scoring_att,total_offside,hit_woodwork,big_chance_missed,total_tackle,total_clearance,clearance_off_line,dispossessed,clean_sheet,saves,penalty_save,total_high_claim,punches
Arsenal,22.0,13.0,25007.0,1.0,60.0,4.0,61.0,18290.0,589.0,66.0,18.0,42.0,540.0,636.0,0.0,336.0,13.0,100.0,0.0,33.0,16.0
Aston Villa,13.0,19.0,22018.0,2.0,79.0,3.0,52.0,14886.0,464.0,52.0,7.0,31.0,634.0,629.0,9.0,344.0,11.0,98.0,1.0,42.0,4.0
Brentford,13.0,18.0,21619.0,2.0,61.0,3.0,48.0,14604.0,442.0,66.0,12.0,37.0,607.0,809.0,4.0,291.0,9.0,129.0,0.0,37.0,12.0
Brighton & Hove Albion,12.0,11.0,26153.0,1.0,73.0,2.0,42.0,18835.0,489.0,53.0,12.0,40.0,668.0,684.0,4.0,349.0,11.0,104.0,0.0,60.0,12.0
Burnley,7.0,17.0,19501.0,2.0,68.0,2.0,34.0,12319.0,407.0,101.0,15.0,37.0,589.0,832.0,9.0,290.0,9.0,129.0,0.0,48.0,17.0
Chelsea,21.0,6.0,30353.0,1.0,63.0,1.0,76.0,23179.0,592.0,69.0,17.0,53.0,621.0,616.0,5.0,383.0,16.0,84.0,0.0,31.0,14.0
Crystal Palace,11.0,12.0,25012.0,2.0,67.0,1.0,50.0,17309.0,412.0,63.0,11.0,33.0,636.0,731.0,2.0,471.0,12.0,101.0,1.0,29.0,21.0
Everton,11.0,21.0,20360.0,5.0,78.0,6.0,43.0,12944.0,437.0,53.0,8.0,24.0,705.0,775.0,2.0,325.0,8.0,128.0,0.0,27.0,25.0
Leeds United,9.0,18.0,24043.0,1.0,101.0,3.0,42.0,16503.0,485.0,63.0,18.0,37.0,786.0,604.0,7.0,298.0,5.0,147.0,0.0,24.0,19.0
Leicester City,14.0,14.0,25700.0,1.0,55.0,1.0,62.0,18578.0,435.0,60.0,9.0,37.0,690.0,727.0,5.0,368.0,7.0,135.0,2.0,16.0,13.0
Liverpool,28.0,2.0,30815.0,1.0,50.0,1.0,94.0,23588.0,729.0,63.0,10.0,59.0,554.0,499.0,4.0,366.0,21.0,82.0,0.0,24.0,19.0
Manchester City,29.0,3.0,32650.0,0.0,42.0,2.0,99.0,26132.0,713.0,66.0,24.0,65.0,498.0,368.0,4.0,316.0,21.0,62.0,0.0,22.0,10.0
Manchester United,16.0,12.0,25893.0,3.0,75.0,2.0,57.0,19035.0,508.0,88.0,13.0,50.0,585.0,673.0,5.0,333.0,8.0,128.0,2.0,9.0,11.0
Newcastle United,13.0,15.0,19609.0,2.0,79.0,2.0,44.0,12503.0,449.0,71.0,7.0,28.0,659.0,743.0,6.0,359.0,8.0,107.0,1.0,30.0,7.0
Norwich City,5.0,26.0,21530.0,2.0,55.0,1.0,23.0,14466.0,373.0,55.0,9.0,27.0,614.0,816.0,10.0,313.0,6.0,142.0,2.0,19.0,20.0
Southampton,9.0,16.0,22727.0,2.0,63.0,2.0,43.0,15288.0,482.0,42.0,10.0,42.0,602.0,761.0,6.0,365.0,8.0,118.0,0.0,43.0,21.0
Tottenham Hotspur,22.0,11.0,26225.0,1.0,67.0,1.0,69.0,19165.0,491.0,62.0,13.0,60.0,598.0,758.0,5.0,341.0,16.0,98.0,0.0,34.0,10.0
Watford,6.0,27.0,20559.0,3.0,57.0,3.0,34.0,13046.0,399.0,54.0,11.0,39.0,614.0,866.0,5.0,389.0,4.0,117.0,1.0,28.0,9.0
West Ham United,16.0,14.0,23444.0,2.0,47.0,3.0,60.0,16579.0,449.0,59.0,10.0,38.0,534.0,755.0,2.0,293.0,8.0,116.0,3.0,30.0,11.0
Wolverhampton Wanderers,15.0,17.0,24764.0,1.0,59.0,3.0,38.0,17517.0,402.0,61.0,12.0,40.0,673.0,771.0,4.0,341.0,11.0,125.0,0.0,46.0,20.0
