,wins,losses,touches,own_goals,total_yel_card,total_red_card,goals,total_pass,total_scoring_att,total_offside,hit_woodwork,big_chance_missed,total_tackle,total_clearance,clearance_off_line,dispossessed,clean_sheet,saves,penalty_save,total_high_claim,punches
Manchester City,27.0,6.0,28341.0,2.0,72.0,1.0,102.0,20774.0,673.0,59.0,19.0,59.0,756.0,938.0,0.0,411.0,16.0,88.0,0.0,64.0,31.0
Liverpool,26.0,6.0,28169.0,6.0,54.0,1.0,101.0,19612.0,651.0,78.0,27.0,64.0,848.0,1339.0,5.0,427.0,10.0,107.0,1.0,36.0,29.0
Chelsea,25.0,6.0,26540.0,2.0,57.0,3.0,71.0,18281.0,692.0,106.0,19.0,44.0,733.0,1141.0,2.0,392.0,18.0,96.0,0.0,42.0,16.0
Arsenal,24.0,7.0,29816.0,2.0,53.0,4.0,68.0,21874.0,523.0,74.0,15.0,50.0,714.0,1207.0,3.0,367.0,17.0,116.0,1.0,70.0,27.0
Everton,21.0,8.0,26857.0,4.0,55.0,1.0,61.0,18319.0,561.0,80.0,14.0,28.0,744.0,1103.0,2.0,471.0,15.0,117.0,2.0,59.0,14.0
Tottenham Hotspur,21.0,11.0,26238.0,3.0,66.0,4.0,55.0,17957.0,588.0,64.0,12.0,64.0,750.0,974.0,3.0,598.0,14.0,106.0,1.0,41.0,38.0
Manchester United,19.0,12.0,27367.0,1.0,66.0,3.0,64.0,18910.0,526.0,97.0,16.0,38.0,676.0,1382.0,1.0,491.0,13.0,103.0,0.0,32.0,14.0
Newcastle United,15.0,19.0,24483.0,1.0,53.0,6.0,43.0,16102.0,579.0,78.0,14.0,45.0,736.0,1110.0,4.0,453.0,10.0,108.0,0.0,51.0,21.0
Southampton,15.0,12.0,28030.0,1.0,60.0,0.0,54.0,19592.0,534.0,97.0,16.0,37.0,805.0,1201.0,1.0,522.0,15.0,85.0,0.0,50.0,18.0
Crystal Palace,13.0,19.0,20309.0,2.0,58.0,2.0,33.0,11826.0,414.0,71.0,9.0,31.0,845.0,1409.0,4.0,361.0,12.0,119.0,0.0,81.0,8.0
Stoke City,13.0,14.0,23323.0,1.0,72.0,5.0,45.0,15336.0,428.0,81.0,14.0,36.0,791.0,1090.0,2.0,469.0,9.0,127.0,2.0,84.0,17.0
Swansea City,11.0,18.0,29158.0,1.0,55.0,3.0,54.0,21122.0,496.0,76.0,7.0,20.0,674.0,1083.0,6.0,400.0,8.0,96.0,0.0,45.0,20.0
West Ham United,11.0,20.0,20510.0,1.0,62.0,5.0,40.0,12380.0,422.0,76.0,11.0,33.0,651.0,1401.0,8.0,371.0,14.0,151.0,0.0,54.0,9.0
Aston Villa,10.0,20.0,21453.0,4.0,78.0,0.0,39.0,13870.0,431.0,84.0,11.0,27.0,747.0,1068.0,3.0,359.0,9.0,110.0,1.0,102.0,15.0
Hull City,10.0,21.0,22984.0,2.0,53.0,4.0,38.0,15321.0,427.0,86.0,16.0,31.0,723.0,1048.0,6.0,413.0,10.0,106.0,1.0,24.0,24.0
Sunderland,10.0,20.0,21921.0,6.0,69.0,7.0,41.0,14482.0,491.0,70.0,10.0,29.0,702.0,903.0,3.0,411.0,11.0,160.0,0.0,71.0,20.0
Fulham,9.0,24.0,22770.0,5.0,58.0,1.0,40.0,14689.0,431.0,86.0,11.0,45.0,702.0,1351.0,12.0,483.0,5.0,154.0,0.0,71.0,21.0
Norwich City,8.0,21.0,22569.0,3.0,62.0,2.0,28.0,14777.0,467.0,48.0,15.0,37.0,675.0,1071.0,10.0,489.0,12.0,125.0,0.0,72.0,11.0
Cardiff City,7.0,22.0,22016.0,0.0,49.0,1.0,32.0,14033.0,418.0,81.0,10.0,30.0,619.0,1268.0,5.0,490.0,7.0,157.0,0.0,59.0,13.0
West Bromwich Albion,7.0,16.0,22865.0,2.0,67.0,0.0,43.0,14717.0,487.0,91.0,6.0,35.0,701.0,1176.0,0.0,514.0,7.0,114.0,2.0,65.0,14.0
