,wins,losses,touches,own_goals,total_yel_card,total_red_card,goals,total_pass,total_scoring_att,total_offside,hit_woodwork,big_chance_missed,total_tackle,total_clearance,clearance_off_line,dispossessed,clean_sheet,saves,penalty_save,total_high_claim,punches
Arsenal,21.0,7.0,29209.0,0.0,42.0,5.0,72.0,21381.0,597.0,80.0,16.0,50.0,748.0,873.0,5.0,411.0,14.0,101.0,1.0,31.0,20.0
Aston Villa,10.0,17.0,22327.0,5.0,72.0,3.0,47.0,14272.0,438.0,97.0,10.0,33.0,741.0,1520.0,9.0,505.0,5.0,11.0,1.0,101.0,25.0
Chelsea,22.0,7.0,25992.0,2.0,51.0,3.0,75.0,18452.0,626.0,80.0,7.0,45.0,710.0,981.0,1.0,434.0,14.0,15.0,0.0,53.0,29.0
Everton,16.0,7.0,23866.0,2.0,59.0,3.0,55.0,15844.0,633.0,100.0,21.0,67.0,720.0,1172.0,8.0,449.0,11.0,8.0,0.0,61.0,28.0
Fulham,11.0,17.0,24758.0,0.0,48.0,3.0,50.0,16957.0,460.0,74.0,19.0,34.0,680.0,1274.0,7.0,446.0,8.0,5.0,3.0,67.0,24.0
Liverpool,16.0,9.0,27747.0,1.0,54.0,2.0,71.0,19831.0,739.0,110.0,19.0,61.0,795.0,914.0,3.0,529.0,16.0,9.0,1.0,38.0,23.0
Manchester City,23.0,6.0,27545.0,2.0,62.0,3.0,66.0,20074.0,660.0,75.0,16.0,86.0,683.0,1068.0,6.0,515.0,18.0,6.0,1.0,28.0,23.0
Manchester United,28.0,5.0,27286.0,4.0,57.0,1.0,86.0,19709.0,561.0,96.0,24.0,65.0,731.0,1319.0,5.0,506.0,13.0,7.0,0.0,38.0,28.0
Newcastle United,11.0,19.0,23018.0,1.0,71.0,4.0,45.0,14604.0,533.0,84.0,12.0,44.0,732.0,1584.0,5.0,506.0,6.0,6.0,0.0,74.0,38.0
Norwich City,10.0,14.0,20685.0,3.0,60.0,1.0,41.0,13446.0,413.0,97.0,7.0,40.0,676.0,1146.0,5.0,387.0,10.0,13.0,2.0,46.0,19.0
Queens Park Rangers,4.0,21.0,21956.0,5.0,59.0,3.0,30.0,13649.0,500.0,108.0,9.0,32.0,818.0,1363.0,8.0,453.0,7.0,15.0,0.0,56.0,37.0
Reading,6.0,22.0,19620.0,0.0,45.0,1.0,43.0,11827.0,394.0,80.0,9.0,25.0,602.0,1300.0,12.0,442.0,5.0,9.0,0.0,47.0,37.0
Southampton,9.0,15.0,25374.0,5.0,43.0,2.0,49.0,16830.0,516.0,86.0,16.0,41.0,819.0,1275.0,3.0,477.0,7.0,6.0,3.0,56.0,16.0
Stoke City,9.0,14.0,19858.0,4.0,78.0,4.0,34.0,12344.0,390.0,72.0,12.0,35.0,728.0,1161.0,3.0,397.0,12.0,18.0,0.0,91.0,6.0
Sunderland,9.0,17.0,20801.0,4.0,62.0,3.0,41.0,13132.0,417.0,68.0,7.0,30.0,784.0,1155.0,8.0,423.0,11.0,10.0,0.0,52.0,39.0
Swansea City,11.0,14.0,27671.0,1.0,58.0,2.0,47.0,19965.0,504.0,87.0,11.0,42.0,686.0,1353.0,10.0,361.0,10.0,12.0,1.0,51.0,25.0
Tottenham Hotspur,21.0,8.0,25179.0,1.0,55.0,2.0,66.0,16661.0,681.0,77.0,17.0,41.0,745.0,1595.0,6.0,466.0,9.0,3.0,0.0,44.0,30.0
West Bromwich Albion,14.0,17.0,21515.0,3.0,63.0,4.0,53.0,14392.0,506.0,100.0,15.0,39.0,698.0,1079.0,3.0,455.0,8.0,7.0,1.0,77.0,15.0
West Ham United,12.0,16.0,20688.0,1.0,74.0,1.0,45.0,12611.0,492.0,82.0,9.0,38.0,728.0,1520.0,4.0,493.0,11.0,19.0,0.0,36.0,6.0
Wigan Athletic,9.0,20.0,25190.0,3.0,66.0,2.0,47.0,17941.0,500.0,83.0,7.0,36.0,716.0,901.0,5.0,418.0,5.0,9.0,1.0,41.0,28.0
