,wins,losses,touches,own_goals,total_yel_card,total_red_card,goals,total_pass,total_scoring_att,total_offside,hit_woodwork,big_chance_missed,total_tackle,total_clearance,clearance_off_line,dispossessed,clean_sheet,saves,penalty_save,total_high_claim,punches
Arsenal,23.0,9.0,28933.0,1.0,68.0,3.0,77.0,21392.0,566.0,95.0,16.0,41.0,674.0,839.0,1.0,465.0,13.0,124.0,0.0,36.0,9.0
Bournemouth,12.0,16.0,24801.0,5.0,52.0,3.0,55.0,17145.0,451.0,53.0,19.0,31.0,605.0,1091.0,3.0,440.0,10.0,123.0,2.0,36.0,20.0
Burnley,11.0,20.0,19787.0,2.0,65.0,2.0,39.0,12559.0,392.0,101.0,5.0,17.0,639.0,1237.0,5.0,331.0,10.0,151.0,1.0,29.0,13.0
Chelsea,30.0,5.0,27658.0,1.0,72.0,0.0,85.0,20125.0,580.0,64.0,17.0,30.0,652.0,839.0,3.0,436.0,16.0,69.0,0.0,37.0,17.0
Crystal Palace,12.0,21.0,21534.0,0.0,77.0,0.0,50.0,13543.0,439.0,55.0,8.0,27.0,698.0,1022.0,7.0,496.0,7.0,107.0,0.0,56.0,11.0
Everton,17.0,11.0,25313.0,1.0,72.0,2.0,62.0,17584.0,502.0,82.0,11.0,27.0,714.0,1117.0,9.0,468.0,13.0,96.0,2.0,55.0,17.0
Hull City,9.0,22.0,22815.0,5.0,67.0,5.0,37.0,15610.0,397.0,71.0,10.0,18.0,637.0,1110.0,5.0,400.0,5.0,137.0,2.0,41.0,18.0
Leicester City,12.0,18.0,21054.0,2.0,72.0,1.0,48.0,13674.0,433.0,65.0,9.0,29.0,677.0,1028.0,2.0,309.0,9.0,131.0,0.0,44.0,16.0
Liverpool,22.0,6.0,30077.0,0.0,54.0,0.0,78.0,22283.0,640.0,77.0,17.0,33.0,718.0,883.0,0.0,472.0,12.0,73.0,2.0,37.0,26.0
Manchester City,23.0,6.0,30359.0,1.0,71.0,4.0,80.0,22705.0,633.0,89.0,20.0,48.0,642.0,904.0,4.0,462.0,12.0,64.0,2.0,25.0,17.0
Manchester United,18.0,5.0,28115.0,1.0,78.0,2.0,54.0,20247.0,591.0,99.0,19.0,50.0,690.0,1110.0,1.0,393.0,17.0,85.0,1.0,31.0,4.0
Middlesbrough,5.0,20.0,23067.0,0.0,77.0,1.0,27.0,15736.0,351.0,51.0,6.0,19.0,727.0,1090.0,3.0,357.0,11.0,117.0,0.0,38.0,17.0
Southampton,12.0,16.0,25888.0,0.0,59.0,2.0,41.0,18240.0,550.0,73.0,12.0,34.0,675.0,919.0,4.0,455.0,14.0,76.0,1.0,25.0,12.0
Stoke City,11.0,16.0,22087.0,5.0,70.0,2.0,41.0,14558.0,426.0,85.0,14.0,40.0,665.0,1009.0,5.0,415.0,11.0,127.0,1.0,40.0,23.0
Sunderland,6.0,26.0,19655.0,2.0,78.0,4.0,29.0,12360.0,387.0,78.0,4.0,19.0,630.0,1173.0,5.0,391.0,6.0,176.0,0.0,57.0,24.0
Swansea City,12.0,21.0,23722.0,5.0,56.0,0.0,45.0,16125.0,406.0,49.0,10.0,25.0,634.0,1039.0,1.0,448.0,8.0,121.0,1.0,71.0,15.0
Tottenham Hotspur,26.0,4.0,28150.0,1.0,62.0,0.0,86.0,20153.0,669.0,74.0,22.0,41.0,661.0,1003.0,1.0,488.0,17.0,85.0,0.0,20.0,11.0
Watford,11.0,20.0,21547.0,2.0,84.0,5.0,40.0,14049.0,422.0,61.0,6.0,25.0,618.0,1016.0,2.0,390.0,7.0,121.0,1.0,52.0,34.0
West Bromwich Albion,12.0,17.0,19040.0,1.0,80.0,0.0,43.0,11821.0,400.0,58.0,11.0,24.0,607.0,997.0,3.0,444.0,6.0,116.0,0.0,51.0,8.0
West Ham United,12.0,17.0,22671.0,0.0,78.0,5.0,47.0,15134.0,499.0,74.0,14.0,23.0,575.0,1071.0,2.0,363.0,10.0,117.0,1.0,45.0,11.0
