,wins,losses,touches,own_goals,total_yel_card,total_red_card,goals,total_pass,total_scoring_att,total_offside,hit_woodwork,big_chance_missed,total_tackle,total_clearance,clearance_off_line,dispossessed,clean_sheet,saves,penalty_save,total_high_claim,punches
Arsenal,18.0,13.0,26648.0,4.0,47.0,5.0,55.0,20126.0,459.0,61.0,19.0,33.0,456.0,615.0,3.0,260.0,12.0,96.0,1.0,26.0,14.0
Aston Villa,16.0,15.0,22620.0,2.0,63.0,4.0,55.0,15189.0,520.0,71.0,22.0,45.0,530.0,736.0,3.0,337.0,15.0,142.0,1.0,43.0,5.0
Brighton & Hove Albion,9.0,15.0,25074.0,2.0,46.0,6.0,40.0,18185.0,487.0,52.0,17.0,44.0,628.0,560.0,4.0,306.0,12.0,82.0,0.0,28.0,11.0
Burnley,10.0,19.0,20586.0,2.0,48.0,1.0,33.0,13846.0,384.0,80.0,10.0,40.0,507.0,772.0,8.0,278.0,11.0,126.0,0.0,34.0,13.0
Chelsea,19.0,9.0,31173.0,1.0,50.0,3.0,58.0,24070.0,556.0,79.0,17.0,56.0,612.0,614.0,2.0,286.0,18.0,73.0,1.0,21.0,6.0
Crystal Palace,12.0,18.0,21227.0,0.0,54.0,2.0,41.0,14067.0,349.0,67.0,10.0,26.0,636.0,727.0,2.0,402.0,8.0,109.0,1.0,21.0,22.0
Everton,17.0,13.0,24201.0,1.0,59.0,2.0,47.0,17132.0,400.0,65.0,10.0,37.0,640.0,803.0,2.0,344.0,12.0,114.0,0.0,25.0,24.0
Fulham,5.0,20.0,25373.0,1.0,67.0,3.0,27.0,17796.0,442.0,43.0,12.0,34.0,601.0,751.0,2.0,393.0,9.0,120.0,0.0,28.0,28.0
Leeds United,18.0,15.0,26217.0,2.0,61.0,1.0,62.0,18652.0,522.0,76.0,18.0,50.0,740.0,611.0,2.0,319.0,12.0,148.0,1.0,28.0,28.0
Leicester City,20.0,12.0,26725.0,2.0,61.0,0.0,68.0,19577.0,485.0,71.0,13.0,45.0,681.0,629.0,3.0,322.0,11.0,88.0,0.0,21.0,8.0
Liverpool,20.0,9.0,31466.0,0.0,40.0,0.0,68.0,24292.0,608.0,65.0,12.0,68.0,526.0,544.0,4.0,387.0,12.0,100.0,1.0,21.0,20.0
Manchester City,27.0,6.0,32135.0,1.0,46.0,2.0,83.0,25651.0,599.0,57.0,20.0,60.0,498.0,429.0,0.0,350.0,19.0,69.0,2.0,19.0,7.0
Manchester United,21.0,6.0,28038.0,2.0,64.0,1.0,73.0,20996.0,526.0,76.0,10.0,51.0,551.0,595.0,0.0,360.0,13.0,100.0,1.0,12.0,10.0
Newcastle United,12.0,17.0,20065.0,3.0,61.0,3.0,46.0,13116.0,397.0,60.0,13.0,34.0,512.0,876.0,7.0,297.0,7.0,133.0,1.0,27.0,35.0
Sheffield United,7.0,29.0,21453.0,3.0,73.0,3.0,20.0,14647.0,323.0,73.0,5.0,33.0,634.0,796.0,9.0,323.0,5.0,147.0,0.0,33.0,12.0
Southampton,12.0,19.0,24996.0,2.0,52.0,4.0,47.0,17690.0,424.0,76.0,12.0,42.0,727.0,644.0,2.0,386.0,9.0,113.0,1.0,31.0,19.0
Tottenham Hotspur,18.0,12.0,26152.0,3.0,53.0,2.0,68.0,19070.0,443.0,45.0,24.0,43.0,636.0,746.0,3.0,334.0,12.0,114.0,0.0,23.0,9.0
West Bromwich Albion,5.0,22.0,19513.0,3.0,51.0,4.0,35.0,12389.0,339.0,75.0,15.0,37.0,581.0,840.0,7.0,313.0,6.0,170.0,2.0,22.0,25.0
West Ham United,19.0,11.0,22059.0,5.0,48.0,3.0,62.0,15152.0,468.0,74.0,23.0,44.0,514.0,729.0,5.0,318.0,11.0,109.0,2.0,27.0,12.0
Wolverhampton Wanderers,12.0,17.0,24681.0,3.0,53.0,1.0,36.0,17522.0,463.0,38.0,16.0,29.0,588.0,675.0,5.0,309.0,10.0,103.0,1.0,24.0,6.0
